stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,7.89,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,42.06,7.89,0,0,31.54,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,47.2,3.15,0,0,31.47,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,0,0,1,0,1,0,1,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0.82,0,0,0,1.64,0,0.82,9.85,0.82,0.82,0.82,0,0,0.82,0,0.82,0,0.82
 36-46,0,0,0,0,1.61,0,1.61,0,0,0,0,0,0,0,0,3.22,0,0,5.64,0,0,0,0,0,4.03,0,2.42,0,0
 48-58,0,0,0,0,0.57,0,1.15,0,0,0,0,0,0,0,0,4.02,0,0.57,5.74,0,0.57,0.57,0,0,1.72,0,2.87,0,0
 60-70,0,0,0,0,0.98,0,1.96,0.98,0,0,0,0,0,0,0,2.94,0.98,0,5.89,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,0.98,0,0,0,4.91,0,0,0,0,0,0.98,0.98,0,2.94,0,2.94,11.78,0,0.98,0,0,0,1.96,0,0,0,0
 84-94,0,0,0,0,1.06,0,3.19,0,0,0,0,0,0,1.06,0,2.12,0,0,0,0,0,0,0,0,3.19,0,0,0,1.06
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,1.09,0,0,1.09,0,0,2.19,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0,0.77,1.53,0,0,0,0,0,0,0.77,0.77,0,0,0,3.06,0,0,0.77,0,0,3.06,0,0,0.77,0
120,0,0,0,0,5.88,0,0,1.96,1.96,1.96,0,0,0,0,0,1.96,0,0,5.88,0,0,0,0,1.96,9.8,1.96,0,0,1.96
