stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,162.98,2.63,63.09,0,0,0,2.63,0,0,0,0,70.98,0,0,0,0,0,0,0,0,0,0,47.32,260.24,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,3.15,88.12,0,6.29,0,15.73,0,0,0,0,37.76,0,0,0,0,0,0,0,0,0,0,232.88,525.54,0,0,72.38,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,10,32,20,0,4,0,0,3,17,6,1,0,0,0,0,0,0,62,0,31,77,642,1,0,26,0,0,1,26,3,17,32,161,0,0,4,0,0
 24-34,0,0,0.82,3.28,1.64,0,7.39,0,1.64,0.82,0.82,0,0.82,0,0.82,0,0,0,0,142.83,0,32.01,92.76,116.56,4.1,1.64,0,0,1.64,0,0,2.46,0.82,7.39,39.4,0,0,15.6,0,0
 36-46,0,0,0,0.81,0,0,6.45,0,4.83,1.61,0,0,2.42,0,0,0.81,0.81,0,0,178.05,0,25.78,60.43,26.59,0,5.64,0,1.61,2.42,0,0,0,0,0,16.92,0,0,8.06,0.81,0.81
 48-58,0,0,0,0,0,0,17.79,0,5.16,5.74,0,0,4.59,0,0,0,0,0,0,378.71,0.57,14.35,57.38,9.75,1.72,12.05,0,0,0.57,0,0,0,0,0,8.61,0,0,7.46,0,2.87
 60-70,0,0,0,0.98,0.98,0,19.63,0,6.87,3.93,0,0,3.93,0,0,2.94,0.98,0,0,459.35,0.98,12.76,44.17,0.98,2.94,11.78,0,0.98,0.98,0,0,0,0,0,3.93,0,0.98,22.58,0,2.94
 72-82,0,0,0,2.94,0.98,0,41.23,0,9.82,5.89,0.98,0,3.93,1.96,0,5.89,0,0,0,622.37,2.94,16.69,66.75,0,1.96,31.41,0,0,0.98,0,0,0,0,0,4.91,0.98,1.96,68.72,6.87,2.94
 84-94,0,0,0,1.06,0,0,25.49,0,5.31,7.43,0,0,2.12,1.06,0,3.19,1.06,1.06,1.06,358.97,0,10.62,41.42,1.06,1.06,26.55,0,1.06,4.25,0,0,2.12,0,0,2.12,0,4.25,44.61,3.19,3.19
 96-106,0,0,0,3.28,0,1.09,26.23,2.19,8.74,4.37,0,0,6.56,2.19,0,4.37,1.09,0,1.09,285.23,2.19,7.65,48.09,0,0,48.09,0,0,2.19,0,0,0,0,0,1.09,0,4.37,83.06,8.74,3.28
108-118,0,0,0,3.83,0.77,0,9.96,0,6.89,6.13,3.83,0,0.77,2.3,1.53,11.49,1.53,0,0,235.92,1.53,5.36,46.72,0,0,41.36,0,0.77,0.77,0,0,0,0,0,0,0,6.13,78.89,4.6,0.77
120,0,0,0,5.88,1.96,0,11.76,1.96,3.92,3.92,0,0,7.84,3.92,0,5.88,0,0,0,192.06,3.92,1.96,45.08,0,1.96,27.44,0,1.96,0,0,0,0,0,0,0,0,7.84,68.59,0,0
