stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,hatching.gland,ionocyte,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
  3-4,408.52,4757.23,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0
  5-6,619.09,5363.43,0,0,0,0,24.52,0,0,159.37,6.13,0,49.04,147.11,0,0,0,0,0,0
  7-9,76.23,57.83,139.32,0,2.63,147.21,89.38,0,0,1968.91,73.6,0,736.04,5.26,15.77,0,0,0,0,0
 10-12,0,9.44,44.06,0,0,56.65,6.29,0,0,472.05,28.32,0,188.82,0,9.44,6.29,9.44,0,0,0
 14-21,0,0,0,7,0,0,0,1,5,32,2,1,0,0,0,7,2,1,6,9
 24-34,0,0,0,0,0,0,0,0,0.82,1.64,0,0,0,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0.81,0,0,0,0.81,0,0,0,0.81,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
