stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,visceral_smooth_muscle
  3-4,342.63,7498.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.91,0,0,0,0,0
  5-6,281.96,2862.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,0,0,0,12.26,49.04,0,0,0,0,0
  7-9,7.89,7.89,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,136.69,2.63,0,0,36.8,0,13.14,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,6.29,0,6.29,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,1,2,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,2.46,0,1.64,8.21,0,1.64,0.82,0,0,0,0,0,5.75,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,1.61,0.81,0,5.64,0,0.81,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0.57,0,0,4.59,0,0,0,0.57,0,0,0.57,2.87,0,0,2.87,0,0.57,1.15,0,0,0,0,0,1.15,0
 60-70,0,0,0,0,0,0,11.78,0,0,0,0.98,1.96,0,0.98,1.96,0,0.98,6.87,0,0,0.98,0,1.96,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,4.91,0,0,0.98,0.98,1.96,0,0,8.83,0,0.98,5.89,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,6.37,0,1.06,0,0,2.12,1.06,0,3.19,0,0,5.31,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,2.19,0,0,0,1.09,1.09,0,0,3.28,0,0,3.28,0,0,1.09,0,0,0,0,0,0,1.09
108-118,0,0,0,0.77,0,0,2.3,0.77,0.77,0,0.77,0.77,0,0,0,0,0.77,1.53,0,0.77,2.3,0,0.77,0,0,0,0,0
120,0,0,0,0,0,1.96,3.92,0,0,0,0,0,0,0,0,0,1.96,7.84,0,0,1.96,0,0,0,0,0,0,0
