stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,9.44,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,11,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,599,63,0,0,0,1,0,0,24,0,137,7,0,0,1,0,0
 24-34,0,14.78,7.39,0,14.78,0,0.82,9.03,0.82,0,1.64,4.1,0,0.82,0.82,0,0.82,0,1191.88,0.82,0,673.92,171.56,1.64,0,2.46,0,0,4.93,0.82,0.82,27.91,14.78,0,0,3.28,0,0.82
 36-46,0,4.03,0,0,16.92,0.81,0.81,17.72,1.61,0,0,5.64,0,0,1.61,0,0,0,1417.17,0,0.81,427.81,120.04,0,0.81,1.61,0,0.81,2.42,0,0,0.81,18.53,0,2.42,1.61,0.81,0
 48-58,0,5.16,0,0,29.26,0,2.3,15.49,4.02,0,0,2.87,0.57,0,0.57,0,1.15,1.72,1548.13,0.57,0.57,277.72,115.33,1.15,0,4.59,0,0.57,2.3,0,0,0.57,9.18,0,2.3,0.57,0.57,1.72
 60-70,0,0.98,0,0,23.56,1.96,0.98,19.63,6.87,0.98,0,1.96,0,0,0,0,0.98,0,1556.69,0,2.94,154.1,72.63,0,0,3.93,0,6.87,0,0,0,0,2.94,0,5.89,0.98,1.96,0.98
 72-82,0,3.93,0,0,63.81,1.96,0,15.71,8.83,0,0,0,0,0.98,0,1.96,0.98,0,1633.49,0,4.91,140.38,54.97,0.98,0.98,5.89,0,4.91,0,0,0.98,0,0,0.98,7.85,0,10.8,0
 84-94,0,4.25,1.06,0,99.83,2.12,1.06,8.5,4.25,1.06,0,1.06,1.06,1.06,0,0,1.06,0,1118.33,0,7.43,125.32,23.36,1.06,0,8.5,0,3.19,0,0,0,0,2.12,0,9.56,1.06,6.37,0
 96-106,0,7.65,3.28,1.09,59.01,2.19,2.19,7.65,8.74,2.19,0,1.09,2.19,0,0,0,2.19,0,881.93,2.19,4.37,68.85,50.27,0,3.28,3.28,0,5.46,1.09,0,1.09,0,0,1.09,6.56,0,10.93,1.09
108-118,0,3.06,1.53,0,29.87,1.53,0,9.19,3.83,0,0,0.77,0.77,0,0,0,0,0,735.32,1.53,2.3,62.81,38.3,0,0,7.66,0,3.83,0.77,0,0,0,1.53,0,3.06,1.53,4.6,0
120,0,1.96,1.96,0,17.64,1.96,0,0,0,1.96,0,1.96,0,0,0,0,3.92,0,562.46,1.96,1.96,35.28,35.28,0,0,3.92,0,1.96,0,0,0,0,0,0,0,0,11.76,0
