stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,10.51,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.47,7.89,0,0,63.09,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,22.03,0,3.15,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.32,9.44,0,0,59.79,0,3.15,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,24,7,0,16,0,0,0,5,3,1,0,0,0,0,0,0,8,0,0,17,155,2,0,1,6,0,1,26,0,0,36,44,0,0,0,0,0
 24-34,0,0,0,1.64,13.13,2.46,0,31.19,0,0,0,3.28,1.64,0.82,0.82,0,1.64,0,0,0.82,33.66,0,0,10.67,210.14,4.93,2.46,2.46,0,0,8.21,0,0.82,0,9.03,42.68,0,0,4.1,0,0
 36-46,0,0,0,0,8.86,0,0,31.42,0,0.81,1.61,8.06,0.81,0,0.81,0,0,0,0,0.81,28.2,0,0,6.45,114.41,4.03,0,0.81,0,0,4.83,0,0,0,0.81,26.59,0,0,3.22,0,0.81
 48-58,0,0,0,0,4.02,0,0,44.76,1.72,0.57,1.72,13.2,0,0,0.57,0,0,0,0,0,38.44,0,1.72,9.75,92.96,2.3,0.57,0.57,0,0,3.44,0,0,0,0,30.41,0,0,1.72,0.57,0.57
 60-70,0,0,0,0,5.89,0.98,0,42.21,0,1.96,1.96,14.72,0,0,0,0.98,0,0,0,0,32.39,0,0.98,3.93,73.61,0,0,1.96,0,0,1.96,0,0.98,0,0,13.74,0,0.98,4.91,0,0
 72-82,0,0,0.98,0,6.87,2.94,0,46.14,0.98,0,3.93,29.45,0.98,0,0.98,7.85,0,0,0.98,0.98,69.7,0,3.93,11.78,91.29,0.98,0,3.93,0,1.96,6.87,0,0,0,0,5.89,0.98,0.98,5.89,1.96,1.96
 84-94,0,0,0,0,16.99,2.12,1.06,41.42,0,1.06,0,15.93,1.06,0,1.06,11.68,2.12,5.31,1.06,0,50.98,0,3.19,9.56,47.79,2.12,0,7.43,0,0,18.05,0,0,0,0,6.37,2.12,3.19,3.19,3.19,1.06
 96-106,0,0,1.09,0,13.11,1.09,0,24.04,0,2.19,2.19,25.14,4.37,0,2.19,5.46,1.09,1.09,1.09,1.09,55.74,0,1.09,17.49,49.18,0,4.37,0,0,0,32.79,0,0,0,0,4.37,0,1.09,2.19,0,2.19
108-118,0,0,0,0.77,26.04,2.3,0.77,22.21,0,3.06,3.83,22.98,3.83,0,0.77,9.19,1.53,3.06,0.77,3.06,42.89,0.77,0.77,13.02,72,3.06,1.53,4.6,0,0.77,22.21,0,0,1.53,0,7.66,2.3,0.77,3.06,2.3,0.77
120,0,0,0,0,37.24,5.88,0,23.52,1.96,9.8,1.96,21.56,9.8,0,3.92,5.88,0,0,3.92,3.92,47.03,0,0,15.68,90.15,7.84,0,9.8,1.96,1.96,17.64,0,0,0,0,3.92,0,0,9.8,1.96,1.96
