stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,heart,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
 14-21,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,0,2,0
 24-34,0,0.82,0.82,0,1.64,0,0,0.82,0,0,0,0.82,0,2.46,0,0.82,12.31,0,0,3.28,4.1
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0.81,0,3.22,0,0,6.45,0,0,1.61,2.42
 48-58,0,0,0,0,2.87,0,0,0,0,0,0,1.15,0,2.3,0,0,8.03,0,0,0,0
 60-70,0.98,0.98,0,0,1.96,0,3.93,0,0.98,0,0,0.98,1.96,0.98,0,0.98,9.82,0,0,0,0.98
 72-82,0,0,0,0,0,0,0.98,0,0,0,1.96,2.94,0,1.96,0,0,16.69,0,0,0.98,0
 84-94,0,0,0,0,2.12,0,0,0,0,1.06,0,0,0,5.31,0,0,18.05,0,1.06,0,0
 96-106,0,3.28,1.09,1.09,1.09,1.09,2.19,0,0,0,4.37,1.09,0,1.09,1.09,0,22.95,0,0,0,1.09
108-118,0,1.53,0,0,0.77,0,0.77,0,0,0,2.3,0.77,0.77,2.3,0,0,19.15,0,1.53,0,1.53
120,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,1.96,1.96,0,23.52,0,0,0,1.96
