stage,blastomeres,eye,neural,notochord,paraxial.mesoderm,periderm,pronephros,somites
  5-6,18.39,0,0,0,0,0,0,0
  7-9,15.77,36.8,92,0,5.26,0,0,0
 10-12,3.15,22.03,283.23,3.15,28.32,12.59,3.15,9.44
