stage,axial,blastomeres,epidermis,eye,fin.mesenchyme,glial,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,spinal.cord,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,73.06,0,0,0,9.85,0,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,0,0,203.83,0,0,0,31.42,0,0
 48-58,0,0,0,7.46,0,2.87,0,0,0,2.87,0,1.15,271.98,0,0,0,36.15,0,0.57
 60-70,0,0,0,6.87,0,0,0,0,0,1.96,0.98,0,290.53,0,0,0.98,41.22,0,0
 72-82,0,0,1.96,9.82,0.98,3.93,0,0.98,0,2.94,0,0.98,254.25,0.98,0.98,0.98,38.28,0,0
 84-94,0,0,0,15.93,0,4.25,1.06,0,0,2.12,0,0,144.44,0,0,1.06,15.93,1.06,0
 96-106,0,0,2.19,7.65,0,2.19,0,0,0,0,0,0,64.48,0,0,0,6.56,0,0
108-118,0,0,1.53,6.89,0,1.53,0,0,0,0,0,0,94.21,0,0,0,1.53,0,0
120,0,0,0,1.96,0,0,0,0,1.96,0,0,0,72.51,0,0,0,1.96,0,0
