stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,5,0,0,0,0,0,0,0,1,0,0,3,0,0,0,4,1,0,0,0,0,14,1,1,1,2,0,0
 24-34,0,0.82,0.82,0,0,0,0,0.82,0,0,0.82,0,1.64,0,0,0.82,13.13,0,0,0,0,0,14.78,0,0,0,2.46,0,0
 36-46,0,0,0,2.42,0,0,0,0,0,0.81,0,0,0.81,0,0,0,20.95,0,0,0.81,0,0,8.86,0,0,0,4.83,0,0
 48-58,0,0,0,2.87,0,0,1.15,0,0,0,0.57,0,1.15,0.57,0,0.57,13.77,0,0.57,0,0,0,6.31,0,0,0,2.87,0,0
 60-70,0,0,0,10.8,0,0,0.98,0,0,0,1.96,0,8.83,0.98,0.98,0,19.63,0,0.98,0,0,0.98,1.96,0,0,0,4.91,0,0
 72-82,0.98,0,0,8.83,0,0,0,0,0.98,0,1.96,0,4.91,0,0.98,0,12.76,0,0.98,0,0,0,1.96,0,0.98,0,2.94,0,0
 84-94,0,1.06,0,8.5,0,0,2.12,1.06,1.06,2.12,0,1.06,2.12,0,0,0,7.43,0,2.12,0,0,0,8.5,0,0,0,0,1.06,1.06
 96-106,0,2.19,0,8.74,0,1.09,5.46,2.19,0,0,0,0,2.19,0,0,0,6.56,0,3.28,1.09,0,0,14.21,0,0,0,0,0,0
108-118,0,1.53,0,3.06,1.53,0,3.06,1.53,1.53,0.77,0,0,0.77,1.53,1.53,0,13.79,0,1.53,0.77,0,0,11.49,0,0,0,0.77,0,0.77
120,0,1.96,0,0,0,0,3.92,1.96,0,0,0,0,1.96,0,0,0,9.8,0,0,0,0,0,5.88,0,0,0,1.96,0,0
