stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,1,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,1,5,5,11,0,0,0,0
 24-34,0,0,0,0,0,1.64,0,0,0.82,0.82,0,0,0,0,0,0.82,0,0,46.79,0,0.82,0,0,0,0.82,0,0,1.64,1.64,22.16,0,0,0,0
 36-46,0,0,0,0,0,2.42,0,0,2.42,0,0,0,0,0,0,0.81,0,1.61,152.27,0,0,0,0,0,0,0,0,0,0,15.31,0,0,0,0
 48-58,0,0,0,1.15,0,4.02,0.57,0,4.02,0,0,0,0.57,0,0,4.02,0,1.72,184.77,0,0.57,0,0,0,0.57,0,0,0,0,16.64,0,0,0,0
 60-70,0,0,0,1.96,0,14.72,0.98,0,23.56,0,0,0,0,0,0,9.82,0,0.98,550.63,0,0,0.98,0,0,0,0,0.98,0,0,31.41,0,0,0.98,0
 72-82,0,0,0,0,0,51.05,0,2.94,26.5,0,0,0,0,0,0,19.63,2.94,3.93,482,0,0,0.98,0,0,0,0,0,0,0,19.63,4.91,0,1.96,0.98
 84-94,0,1.06,0,0,1.06,30.8,1.06,0,25.49,2.12,0,0,1.06,1.06,0,18.05,1.06,1.06,280.38,0,0,0,0,0,0,0,1.06,0,0,24.43,1.06,0,4.25,1.06
 96-106,0,0,0,2.19,0,28.41,0,0,15.3,0,2.19,0,1.09,0,1.09,10.93,3.28,0,230.59,0,0,1.09,0,1.09,3.28,0,0,0,0,5.46,2.19,1.09,4.37,0
108-118,0,0.77,0,1.53,0,29.87,0.77,0,22.98,0,0.77,0,0,0,0,11.49,0.77,3.06,329.36,0,0.77,0,0,0.77,0,0,0,0,0,9.19,0,0,3.83,0
120,0,0,0,1.96,0,43.12,0,0,11.76,0,0,1.96,0,0,0,7.84,3.92,5.88,344.92,1.96,0,1.96,0,0,0,0,0,0,0,13.72,0,0,5.88,0
