stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,30.65,422.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,6.13,0,18.39,0,0,0,0,0,0,0,0,0
  7-9,7.89,15.77,23.66,0,0,5.26,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,252.36,0,0,0,52.57,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,12.59,0,3.15,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,173.08,3.15,0,0,66.09,0,0,6.29,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,10,2,2,0,1,2,0,0,0,0,0,0,0,0,4,0,0,4,37,1,0,1,1,0,1,0,10,0,5,10,0,0,0,0
 24-34,0,0,0,1.64,0,7.39,0,1.64,0,0,0,0,0.82,0.82,0,0,0,6.57,0,0,1.64,64.03,0,0.82,0,0,0,4.93,0,0,0,4.1,15.6,0,7.39,0,0
 36-46,0,0,0,1.61,0,8.86,0,2.42,0,0,0,0,0,0,0,0,0,4.83,0,0,1.61,37.87,0,0,0,0,0,1.61,0,0,0,0,13.7,0,1.61,0,1.61
 48-58,0,0,0,0,0,14.92,0,2.3,0,0,0,0,0.57,0,0,0,0,8.61,0.57,0.57,1.15,23.53,0,0,0.57,0,0,1.72,0,0,0,0,5.16,0,0,0,0
 60-70,0,0,0,0,0,12.76,0.98,2.94,0.98,0,0.98,1.96,0,0,0,0,0,11.78,0,0.98,1.96,25.52,0,0,0.98,0,0,1.96,0,0,0,0,1.96,0,0.98,0,0
 72-82,0,0,0,0,0.98,6.87,0,5.89,0,0,0,0,0.98,0,0.98,0,0,18.65,0,0,3.93,26.5,0,0.98,0,0,0,0.98,0,0,0,0,2.94,0,2.94,0,0
 84-94,0,0,0,1.06,0,4.25,0,1.06,0,0,0,0,0,1.06,1.06,0,0,9.56,0,0,0,5.31,0,1.06,0,0,1.06,1.06,0,0,0,0,0,1.06,3.19,0,0
 96-106,0,0,0,0,0,9.84,1.09,3.28,0,0,0,0,0,0,0,1.09,0,7.65,1.09,0,1.09,4.37,0,0,1.09,0,0,1.09,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,1.53,0.77,3.83,0.77,3.06,0.77,0,0,2.3,0.77,0,0,0,0,6.13,0,0,0.77,6.89,0,0.77,0,0,0,1.53,0,0,0,0,0,0.77,1.53,0,0
120,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,1.96,3.92,0,0,0,7.84,1.96,0,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0
