stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,18,1,0,9,0,0,0,0,1,3,0,0,0,0,0,0,0,3,0,0,3,46,0,0,0,0,0,5,2,32,29,20,0,0,1,0,0
 24-34,0,0,0,1.64,6.57,0,0,9.03,0,4.93,0,0.82,1.64,0,0.82,0.82,4.1,0,0,2.46,0,12.31,0,0,2.46,85.37,0.82,2.46,0,0,4.1,0,0.82,0.82,4.1,27.91,0,0,5.75,0,0
 36-46,0,0,0,0,4.03,0,0,4.03,0,0.81,0.81,0.81,0,5.64,0.81,0,2.42,0,0.81,0.81,0,2.42,0.81,0,4.83,53.98,0.81,2.42,0.81,0,2.42,0,0,0.81,0,8.86,0,0,0.81,0,0.81
 48-58,0,0,0,0,0.57,0,0,3.44,1.15,2.87,0,1.72,0,14.92,0.57,0,0,0,0,0,0,5.74,1.72,0,2.3,31.56,0.57,0,0,0.57,0,0,0,0.57,0,6.89,0,0,0,0,0
 60-70,0,0,0.98,0,13.74,0.98,0,12.76,1.96,3.93,1.96,4.91,0,7.85,2.94,0.98,0,0.98,0,0,0,10.8,0,0,4.91,61.84,0.98,1.96,0,0,5.89,0,1.96,0.98,0,17.67,0,0,0,0.98,0
 72-82,0,0,0,0,10.8,2.94,0,34.36,0,5.89,4.91,14.72,0.98,8.83,5.89,0.98,2.94,0,4.91,0,0,49.08,1.96,0.98,7.85,63.81,0,2.94,8.83,0,9.82,0,0.98,0,0,15.71,0,1.96,2.94,0,0
 84-94,0,0,0,0,16.99,2.12,0,28.68,0,5.31,3.19,5.31,0,8.5,2.12,0,2.12,0,0,0,1.06,26.55,0,2.12,2.12,38.23,0,1.06,4.25,0,22.3,0,1.06,1.06,0,9.56,0,0,1.06,0,2.12
 96-106,0,0,0,0,24.04,3.28,0,22.95,1.09,6.56,2.19,8.74,3.28,1.09,0,3.28,1.09,0,3.28,3.28,0,55.74,4.37,3.28,3.28,40.44,3.28,1.09,7.65,1.09,10.93,0,0,0,0,3.28,1.09,1.09,1.09,0,1.09
108-118,0,0,0,0,49.02,3.06,0.77,26.04,0,13.02,4.6,10.72,2.3,0,2.3,0.77,4.6,2.3,1.53,0,0,51.32,0,1.53,9.96,62.04,0,2.3,6.89,0.77,23.74,0,0,0.77,0,3.83,1.53,1.53,1.53,0,0.77
120,1.96,0,0,0,254.77,11.76,0,23.52,1.96,45.08,7.84,17.64,17.64,0,5.88,3.92,9.8,0,3.92,1.96,0,133.27,1.96,9.8,43.12,82.31,3.92,5.88,11.76,0,84.27,0,0,0,0,3.92,3.92,0,1.96,0,0
