stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,5,0,0
 24-34,0,0.82,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,68.95,5.75,0,0,0,13.13,0,0
 36-46,0,0,0,0,4.03,0,0,0,0,0,0,0,2.42,0,0.81,0.81,157.91,8.06,0,0.81,0,22.56,0,0
 48-58,0,0,0,0,30.41,0,4.02,0,0,0,0,0.57,0,0,0,0,241.57,4.59,0,0,0,24.67,0.57,0
 60-70,0,0,0.98,0,112.88,0.98,2.94,0,0,0,0,0,1.96,0,0,0,264.03,4.91,0,0,0,36.32,0,0
 72-82,0,0,0.98,0,203.2,0,14.72,0,0,0,0,0,5.89,0,0,0.98,242.47,1.96,0,0,0,16.69,0,1.96
 84-94,0,0,2.12,0,109.39,1.06,12.74,1.06,0,0,0,0,5.31,0,2.12,1.06,117.89,3.19,0,0,0,11.68,0,0
 96-106,0,0,2.19,0,102.73,0,16.39,0,0,1.09,1.09,0,4.37,1.09,0,1.09,84.15,6.56,0,0,0,5.46,1.09,0
108-118,0,0,2.3,0,62.81,0,9.96,0,0,0,0,0,2.3,0.77,0.77,0,114.13,3.06,1.53,0,0.77,1.53,0.77,0
120,0,0,1.96,0,52.91,0,9.8,0,0,0,0,0,0,0,0,0,125.43,5.88,0,0,0,0,0,1.96
