stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,14.78,0,0,0,0,0,0,0,1.64,0,0,2.46,0,0,0,0,0,0,7.39,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,15.31,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,3.22,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0.57,0,0,13.2,0,0,0,0.57,0,0,0,0.57,0,0,3.44,0,0,0,0,0,0,2.3,0,0.57
 60-70,0,0,0,0,0,28.46,0,0,0,0.98,0,0,12.76,0,0,0,0,0.98,0,0,17.67,0,0,3.93,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,219.89,0,0.98,1.96,18.65,0,0,16.69,0,0.98,0,0,2.94,0,0.98,43.19,0.98,0.98,8.83,0,0,0.98,0,0,0.98,2.94,0.98,0
 84-94,0,1.06,0,1.06,1.06,198.6,0,1.06,0,10.62,0,0,12.74,0,0,1.06,0,3.19,0,1.06,24.43,0,1.06,18.05,0,0,4.25,0,0,0,0,0,0
 96-106,0,1.09,0,7.65,5.46,417.47,1.09,1.09,1.09,21.86,2.19,1.09,12.02,1.09,0,1.09,0,10.93,1.09,0,41.53,0,0,24.04,0,2.19,0,1.09,0,0,2.19,0,3.28
108-118,0,0.77,0,2.3,0.77,335.49,0.77,0.77,0.77,6.13,0.77,0,1.53,0,0,0.77,0,6.89,0,0,30.64,1.53,0,26.04,0,0,0,0,0.77,0.77,3.06,1.53,0
120,0,0,1.96,1.96,0,309.65,0,0,0,23.52,0,0,5.88,0,0,0,0,15.68,0,1.96,74.47,1.96,0,27.44,0,0,3.92,0,0,0,0,0,0
