stage,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0.82,0,0,0.82,0,0,1.64,0.82,0,0,0,0.82,0,0,0.82,0
 36-46,0,0,0,0.81,0,0,0,0,0.81,0,0,0.81,0.81,0,3.22,0,0,0,2.42,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,1.15,0.57,0,2.3,0,0,0.57,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,0,0,0,0,0.98,0,2.94,3.93,0,1.96,0,0.98,0,0,0,0,0,0,0
 84-94,0,1.06,0,1.06,0,0,0,0,0,0,0,4.25,1.06,0,0,0,0,0,2.12,0,0,0,0,0
 96-106,0,2.19,0,0,0,0,1.09,0,0,1.09,0,0,1.09,0,1.09,0,0,0,1.09,0,0,0,0,1.09
108-118,0,1.53,0.77,0,0.77,0,0,0,0,0,0,4.6,0,0.77,0.77,0,0,0,0,0,0,0,0.77,0
120,0,5.88,0,0,0,0,1.96,0,0,1.96,1.96,0,1.96,1.96,0,0,0,0,5.88,0,0,1.96,0,0
