stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,224.02,3426.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0,0,0
  5-6,153.24,2623.48,0,6.13,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,67.43,24.52,0,0,18.39,67.43,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,21.03,0,36.8,0,0,0,52.57,0,0,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,662.44,34.17,0,0,184.01,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,0,50.35,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,236.02,9.44,0,0,50.35,0,9.44,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,5,10,0,5,0,0,0,2,1,0,1,0,0,0,0,0,3,0,0,3,54,1,0,0,0,1,0,11,1,1,4,17,0,0,0,0,1
 24-34,0,0,0,0,2.46,0,0,15.6,0,0,0,4.1,0,0,0,0,0.82,0,0.82,0.82,9.85,0,0,4.93,150.22,1.64,0,0.82,0,0,0,0,1.64,0,0.82,41.04,0,0,1.64,0,0
 36-46,0,0,0,0,2.42,0,0,20.95,0,0.81,0,4.83,0,0,0,0,0,0,0.81,0,5.64,0,0,0,149.05,0,0.81,0.81,0,1.61,0,0,0,0,0,34.64,0,0,0.81,0,0
 48-58,0.57,0,0,0,1.72,0,0,34.43,0,0,0,10.9,0,0,0.57,0.57,0,0,0,0.57,8.61,0,0,1.72,113.61,0,0.57,0.57,0,0,0,0,0,0,0,32.71,0,0,1.15,0,0.57
 60-70,0,0,0,0,0.98,0.98,0,28.46,0,0,0,13.74,0,0,0,0,0.98,0,0,0.98,8.83,0,0.98,0.98,122.69,0,0.98,0,0,1.96,0,0,0.98,0,0,10.8,0,0,0,0,0
 72-82,0,0,0.98,0,5.89,2.94,0,39.27,0,0.98,0.98,24.54,0.98,0,0.98,0,0,0.98,0,0,15.71,0,0.98,0.98,177.68,0,0.98,0,0,1.96,0,0,0,0,0,13.74,0,1.96,1.96,1.96,0
 84-94,0,0,0,0,4.25,1.06,0,39.3,0,0,0,11.68,0,0,0,1.06,0,0,0,0,14.87,0,1.06,1.06,82.84,0,2.12,0,0,3.19,0,0,0,0,0,7.43,0,0,3.19,3.19,0
 96-106,0,0,0,0,3.28,7.65,0,22.95,0,0,0,9.84,1.09,0,1.09,1.09,0,1.09,1.09,0,13.11,1.09,1.09,1.09,67.76,0,3.28,2.19,0,4.37,0,0,0,0,0,4.37,0,0,0,2.19,0
108-118,0,0,0,0,4.6,4.6,1.53,17.62,0,0,0.77,2.3,1.53,0,0.77,0,0,0,0.77,0.77,9.19,0,0,3.83,101.11,0,0,0.77,0,2.3,0.77,0,0,0,0,0,0.77,0,0,0.77,0
120,1.96,0,0,0,5.88,5.88,0,41.16,3.92,0,0,7.84,0,0,1.96,3.92,0,0,0,0,11.76,0,0,3.92,135.23,0,0,1.96,0,3.92,0,0,0,0,0,7.84,0,0,0,3.92,0
