stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,171.31,2437.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,128.72,1900.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,30.65,0,30.65,0,0,0,0,0,0,0,0,0,0
  7-9,26.29,13.14,0,18.4,0,0,0,52.57,0,0,0,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0,446.88,15.77,0,0,128.81,0,2.63,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,25.18,0,12.59,0,0,0,37.76,0,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,336.73,18.88,0,0,154.2,0,0,3.15,0,31.47,0,0,0,0,0,0,0
 14-21,0,0,0,1,7,3,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,12,50,3,0,0,0,0,0,1,16,0,1,52,18,0,1,0,0
 24-34,0,0,2.46,0,5.75,3.28,0,22.98,0,0,0,0.82,0,0.82,0,0,0,0,0.82,0.82,0,16.42,0,0,6.57,88.65,1.64,0.82,0,0,0,1.64,0,0,0,0,16.42,16.42,0,4.1,0,2.46
 36-46,0,0,0,0,2.42,0.81,0,33.03,0,0,0,2.42,0.81,0.81,0.81,1.61,0,0.81,0,0,0.81,8.06,0,0,6.45,58.81,0.81,2.42,0,0,0,1.61,0,0,0.81,1.61,0,11.28,0,4.83,0,4.03
 48-58,0,0,0,0,2.87,0.57,0,44.76,1.72,0,1.15,2.3,0,0,0,0,0,1.15,0.57,0,0.57,14.35,0.57,0.57,4.02,65.41,1.15,0.57,0,0,0,1.15,0,0,0.57,1.15,0,12.62,0,3.44,0,4.02
 60-70,0,0,0,0,2.94,0.98,0,53,2.94,0,2.94,14.72,0,0,1.96,0,0.98,5.89,0,0,0,33.37,1.96,0,9.82,109.93,0.98,0,1.96,0,0,2.94,0,0,0,0.98,0,11.78,0.98,3.93,0,4.91
 72-82,0,0,0,0,2.94,5.89,0,27.49,0.98,0,5.89,21.6,0,0,0.98,0,0,0,2.94,0,2.94,32.39,0,2.94,7.85,94.24,1.96,0.98,2.94,0,0,0.98,0,0,0,0.98,0,8.83,0,3.93,0,4.91
 84-94,0,0,1.06,0,11.68,10.62,1.06,23.36,0,3.19,5.31,13.81,1.06,1.06,0,0,3.19,0,0,2.12,4.25,30.8,0,3.19,7.43,52.04,0,1.06,3.19,0,1.06,7.43,0,0,1.06,1.06,0,1.06,2.12,3.19,2.12,3.19
 96-106,0,0,0,0,8.74,9.84,1.09,29.51,13.11,0,4.37,21.86,1.09,0,0,3.28,2.19,5.46,1.09,1.09,5.46,31.69,0,0,5.46,67.76,2.19,2.19,3.28,0,0,3.28,0,0,0,3.28,0,8.74,0,5.46,0,3.28
108-118,0,0,0.77,0.77,10.72,3.83,1.53,30.64,12.26,0.77,0.77,17.62,0.77,0,0.77,1.53,0,4.6,0.77,2.3,1.53,38.3,0,2.3,13.79,78.89,0.77,1.53,3.06,0,0,1.53,0,0,1.53,4.6,0,3.83,0.77,2.3,0,7.66
120,0,0,0,0,25.48,17.64,3.92,35.28,5.88,7.84,1.96,19.6,0,0,1.96,1.96,0,3.92,3.92,3.92,1.96,56.83,1.96,0,23.52,115.63,3.92,3.92,3.92,0,3.92,0,0,0,0,3.92,0,9.8,0,11.76,1.96,0
