stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,49,0,0,2,0,2,0,0,1,4,0,0,0,0,0,1,1,3,0,0,1,10,0,0,0,0,5,0,3,0,1,2,1,0,0,1,0,0
 24-34,0,0,0,0,54.18,0,0,0.82,0,3.28,0,0,1.64,0,0.82,4.1,0,0,0,0,0,1.64,0,0.82,1.64,8.21,0,0,0,0,7.39,0,0,0,0,0.82,0,0,0,2.46,0,0.82
 36-46,0,0,0,0,18.53,0,0,1.61,0.81,4.83,0,1.61,0,0,0,8.86,0,0,0,0.81,0,5.64,0,0,1.61,9.67,0,0,0,0,8.06,0,0,0,0,0.81,1.61,0,0,1.61,0,0
 48-58,0,0,0,0,8.61,0,0,1.72,0,6.31,0,4.59,0,0,0,20.08,0,0,0,0,0.57,8.03,0,0.57,0,8.61,0,0,0,0,2.87,0,0,0,0,0,0.57,0,0,0,0,2.87
 60-70,0,0,0,0,22.58,0,0,7.85,2.94,9.82,0,6.87,0,0,0,17.67,0,0,0.98,0,0,10.8,0.98,0.98,0,7.85,0,0.98,0,0,6.87,0,0,0,0,0,0,0,0,0,0,5.89
 72-82,0,0,0,0,39.27,0,0,5.89,0,13.74,0,15.71,0,0,0,26.5,0,0,0.98,0,0.98,20.61,0,0,1.96,10.8,0,0,1.96,0,9.82,0,0,0.98,0,0,0.98,0,0,2.94,1.96,4.91
 84-94,0,0,0,0,83.9,1.06,0,5.31,1.06,19.12,0,12.74,2.12,0,3.19,40.36,3.19,0,0,1.06,2.12,10.62,1.06,1.06,2.12,12.74,1.06,0,0,0,39.3,0,0,1.06,0,0,1.06,0,0,1.06,0,2.12
 96-106,0,0,0,0,75.41,1.09,0,1.09,0,20.76,0,20.76,3.28,0,1.09,55.74,5.46,1.09,2.19,1.09,0,25.14,0,5.46,0,12.02,1.09,1.09,1.09,1.09,31.69,0,0,0,1.09,0,0,1.09,1.09,1.09,6.56,8.74
108-118,0,0,0,0,114.13,1.53,0.77,5.36,2.3,34.47,0.77,15.32,3.83,0,0.77,35.23,2.3,3.06,0.77,1.53,0,22.21,1.53,2.3,3.06,7.66,0,0.77,0,0,25.28,0,0,0,0,0,0,0.77,0.77,3.83,1.53,11.49
120,0,0,1.96,0,125.43,0,0,1.96,0,35.28,0,7.84,0,0,1.96,29.4,0,1.96,0,1.96,0,15.68,3.92,1.96,7.84,7.84,0,0,0,0,11.76,0,0,0,0,0,0,0,1.96,3.92,0,0
