stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,11.49,0,0,0,0.82,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,0,0.81,0,0,0,7.25,0,0,0,1.61,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,2.3,0,0,0,0,0,0,0,10.9,0,0,0,2.3,0,0,0,0,0,0,0,0,0
 60-70,0.98,0.98,0,0,0,0,0,0,0,0,0,0,17.67,0,0,0,2.94,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.94,0,0,0.98,0,0,0,0,70.68,0,0,0,6.87,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,2.12,0,0,1.06,0,0,0,1.06,201.79,1.06,0,0,6.37,0,0,0,0,0,0,0,0,0
 96-106,0,2.19,0,0,6.56,0,1.09,1.09,0,0,0,0,420.75,5.46,1.09,0,32.79,0,1.09,3.28,4.37,0,0,0,0,0
108-118,0,0,0.77,0.77,5.36,0.77,0,0.77,0,0.77,0.77,0,720.01,3.83,0,0.77,23.74,0,0.77,0,3.83,0.77,0,0.77,0.77,0.77
120,0,0,0,0,1.96,0,0,1.96,1.96,1.96,0,0,391.96,1.96,0,0,23.52,0,1.96,0,0,0,0,0,0,0
