stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,0,25.18,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,2,3,9,0,0,0,0,0,0,0,0,0,0,4,0,1,21,0,0,0,0,4,0,9,2,0,0,0
 24-34,0,0,0.82,0.82,0,6.57,0.82,0,0,0.82,0,0,0.82,0,0,0,0,0,0.82,21.34,0.82,0.82,0,0.82,0,0,0,3.28,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,1.61,0,0,0,0,0,0,0,0,0,0.81,8.06,0,0,0,0,0,0,0.81,2.42,0,0.81,0
 48-58,0,0,0,0.57,0,4.59,0,0,0,0,0,0,0,0,0,0,0.57,0,0,5.16,0.57,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,14.72,0,0,2.94,0,0,0.98,0.98,0.98,0,0,0.98,0,0,3.93,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,1.96,1.96,3.93,0,0,4.91,2.94,0,0,0,0,0,0,6.87,0.98,0.98,2.94,0,0,0,5.89,0,0,0,0.98,0,0,0
 84-94,0,0,0,2.12,1.06,4.25,0,1.06,5.31,0,0,1.06,0,0,0,0,1.06,0,3.19,4.25,1.06,0,0,8.5,0,0,0,0,0,0,0
 96-106,0,0,0,3.28,4.37,7.65,0,0,4.37,1.09,1.09,1.09,0,0,3.28,0,3.28,0,2.19,5.46,0,0,1.09,8.74,0,0,0,0,1.09,4.37,0
108-118,0,0,0,2.3,3.83,10.72,0,0.77,6.89,0,0,0.77,0.77,0,0,0.77,9.96,1.53,8.43,10.72,1.53,0,0,12.26,0,0,0,0,0,0,0.77
120,0,0,0,3.92,3.92,5.88,0,0,3.92,0,0,0,0,0,0,0,3.92,0,0,9.8,0,0,0,9.8,0,0,0,0,0,3.92,0
