stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,269.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.95,0,0,0,76.23,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,3.15,0,0,264.35,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,7,0,2,3,0,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,8.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.23,0,0.81,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,5.74,0,4.02,0,0,0,2.87,0,0,0,0.57,0,0,1.72,0,0,1.15,84.92,0,0,1.72,0,0,0,0,0,3.44,0,0,0.57,0,0.57
 60-70,0,0,3.93,5.89,0,9.82,0,0,0,16.69,0,0.98,0,5.89,2.94,0,6.87,0,0,0,235.57,0,0,5.89,0,0,0,0,0,2.94,5.89,0.98,0,0,0.98
 72-82,0,0,4.91,26.5,0,51.05,0,0.98,0.98,36.32,0,0.98,2.94,13.74,11.78,0,21.6,0,0.98,2.94,436.84,0,1.96,5.89,0,0.98,0,0,0,2.94,35.34,0,0,0,0
 84-94,0,0,11.68,29.74,0,55.23,1.06,0,1.06,27.61,2.12,0,0,6.37,5.31,1.06,6.37,1.06,0,0,265.51,0,1.06,20.18,0,2.12,0,0,0,3.19,100.89,0,0,1.06,0
 96-106,0,0,22.95,48.09,0,76.5,0,2.19,0,36.06,3.28,3.28,1.09,4.37,24.04,1.09,4.37,0,0,1.09,300.53,0,3.28,27.32,0,5.46,0,0,0,3.28,155.18,0,3.28,1.09,1.09
108-118,0,0,16.85,19.15,0,50.55,0,0.77,0.77,32.17,3.06,0.77,0,1.53,11.49,0.77,5.36,0.77,0,0.77,455.75,0,0.77,9.96,0,2.3,0,0.77,0,2.3,137.87,0,0.77,0.77,0
120,0,0,23.52,0,1.96,62.71,0,1.96,3.92,37.24,3.92,1.96,0,0,11.76,1.96,13.72,1.96,0,1.96,497.79,1.96,1.96,17.64,0,0,0,0,0,1.96,56.83,0,0,0,0
