stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,immune,liver,mesenchyme,mucous,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,6.29,0,6.29,0,0,0,0,0,0
 14-21,0,4,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,3,0,0,0
 24-34,0,2.46,0,0,0,0.82,0,0,0,0,0,0,12.31,0,0,0.82,0,7.39,0,0,0
 36-46,0,4.03,0,1.61,0,0.81,0,0,0,0.81,0,0.81,37.87,0,0,0,0,6.45,0,0,0
 48-58,0,1.15,0,2.3,0,0,0,0.57,0,1.15,0,0,39.02,0.57,0,0,0,10.33,0,0,0
 60-70,0,0.98,0,9.82,0.98,1.96,0,0,0,0.98,0,0,141.34,0,0,0,0,11.78,0,0,0
 72-82,0,0,0,18.65,0,2.94,0,0,0,3.93,0,0.98,168.85,3.93,0,0,0,10.8,0,0,0.98
 84-94,0,3.19,0,31.86,0,2.12,0,0,0,0,1.06,0,107.27,1.06,0,0,0,18.05,1.06,1.06,0
 96-106,0,4.37,0,27.32,0,2.19,0,0,1.09,1.09,0,1.09,103.82,0,0,0,0,5.46,1.09,0,0
108-118,0,2.3,0,17.62,0,3.83,0,0,0,1.53,0.77,0,91.15,3.83,0,0,0.77,3.83,0,0,0
120,0,5.88,1.96,15.68,1.96,1.96,0,0,0,1.96,0,0,135.23,1.96,0,0,0,5.88,0,0,0
