stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,6,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,36,0,0,1,1,2,6,0,1,3,17,0,0,0,0
 24-34,0,0,8.21,0.82,9.03,0,0,0,1.64,0.82,0.82,0,3.28,0,0,0,0.82,12.31,0,0.82,2.46,121.49,1.64,1.64,0.82,0,1.64,0,0.82,0,3.28,27.91,0,3.28,0,0
 36-46,0,0,0,0,7.25,0,0,0.81,4.83,0.81,0,0,0,0,0,0,0,4.83,0,0,0.81,37.87,0,0.81,0,0,4.03,0,0,0,0,4.83,0,0,0,0.81
 48-58,0,0,1.72,0,50.49,0.57,0.57,1.72,8.03,0,0,0,0,0.57,0,1.15,0,24.1,0.57,0,2.87,98.69,0.57,1.72,0.57,0,1.15,0,0.57,0,0,19.51,0,1.15,0,1.15
 60-70,0,0,0,0,12.76,0,0,0,3.93,0.98,0,2.94,0,0,0,0,0,2.94,0,0,1.96,29.45,0,0,0.98,0,0,0,0,0,0,3.93,0,0,0,0
 72-82,0,0,2.94,0,28.47,0,0,0,6.87,0,0,0.98,0.98,0,1.96,0,0,13.74,0,0.98,1.96,42.21,0.98,0.98,0,0,1.96,0,0,0,0,3.93,0,1.96,0,0
 84-94,0,0,2.12,1.06,11.68,0,0,0,5.31,0,0,0,2.12,0,1.06,0,0,4.25,0,0,1.06,22.3,0,1.06,1.06,0,2.12,0,0,0,0,2.12,1.06,0,0,0
 96-106,0,0,3.28,0,29.51,0,0,0,7.65,0,1.09,2.19,0,0,0,0,1.09,16.39,0,3.28,3.28,33.88,2.19,1.09,1.09,0,7.65,0,0,0,0,0,0,1.09,3.28,0
108-118,0,0,3.06,0,8.43,0,0,0,5.36,0,0,1.53,0.77,0,0,0,0.77,5.36,0,0,1.53,13.02,0,0.77,0,0,3.83,0,0,0,0,0,0,1.53,0.77,0
120,1.96,0,1.96,1.96,9.8,0,0,0,3.92,0,0,3.92,1.96,0,0,0,0,3.92,0,0,3.92,35.28,1.96,0,0,0,1.96,0,0,0,0,1.96,0,1.96,0,0
