stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,liver,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,pgc
  3-4,13.18,329.45,0,0,0,0,0,0,0,0,0,0,26.36,0
  5-6,12.26,153.24,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,7.89,0,5.26,0,2.63
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,1,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0.81,0,0,0
 48-58,0,0,0,0,0,0,0.57,0.57,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,2.94,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0.98,5.89,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,2.12,0,0,2.12,0
 96-106,0,0,0,0,0,0,0,0,4.37,2.19,0,0,0,0
108-118,0,0,0,0,0,0,0,0,1.53,4.6,0,0,0,0
120,0,0,0,0,0,1.96,0,0,3.92,5.88,0,0,0,1.96
