stage,axial,blastomeres,eye,fast_muscle,glial,immune,ionocyte,mural_cell,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vasculature
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0.82,0,0,0
 36-46,0,0,0.81,1.61,0,0,0,0,3.22,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,4.02,0,0,0,0.57,2.3,0,0,0,0.57,0,0,0,0.57
 60-70,0,0,3.93,2.94,1.96,2.94,0.98,0,2.94,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,2.94,0.98,0,0,0,1.96,0,0.98,0,0,0,0,0.98,0
 84-94,0,0,0,0,1.06,0,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,1.09,1.09,0,0,0,0,0,1.09,0
108-118,0,0,3.83,0,0.77,0,0,0,0.77,0,0,0,0.77,0,0.77,0,0
120,0,0,3.92,0,1.96,1.96,0,0,1.96,0,0,0,0,1.96,0,0,0
