stage,epidermis,erythrocytes,eye,glial,immune,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,pgc,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,15.73,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,3,0,0,0,2
 24-34,0,0,1.64,9.85,0,0,0,0.82,5.75,3.28,76.34,0.82,0,0,0,25.45,0,0.82,0,1.64
 36-46,0.81,0,0,49.15,0.81,1.61,0,0,16.11,1.61,103.13,0,1.61,0,0,59.62,0,0.81,0,1.61
 48-58,0,0,4.02,83.2,0,0,0,0,10.9,1.15,76.89,0,0,0,0.57,72.87,0,1.72,0,2.3
 60-70,0.98,0,4.91,142.32,2.94,1.96,0,0.98,17.67,0.98,53.98,0,0.98,0,0,57.91,0,0,0,1.96
 72-82,0.98,0.98,13.74,136.45,1.96,0.98,0,0,22.58,0,34.36,0,1.96,0,0,22.58,0.98,0,0,0
 84-94,0,0,13.81,89.21,1.06,4.25,0,1.06,16.99,1.06,18.05,0,2.12,0,0,8.5,0,0,0,2.12
 96-106,0,0,4.37,85.24,6.56,1.09,0,0,12.02,1.09,26.23,0,0,0,0,9.84,0,0,0,1.09
108-118,0,0,6.13,67.4,2.3,1.53,0,0,13.02,0,16.85,0,0.77,0,0,2.3,0.77,0,0.77,2.3
120,0,0,1.96,86.23,5.88,0,1.96,0,7.84,0,21.56,0,1.96,0,0,1.96,0,0,0,0
