stage,axial,blastomeres,eye,glial,lateral.line,mesenchyme,muscle,neural,paraxial.mesoderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,30.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,18.4,10.51,0,0,0,0
 10-12,0,0,0,0,0,0,0,12.59,9.44,0,0,0,0
 14-21,0,0,0,0,0,0,1,4,0,1,1,2,1
 24-34,0,0,0,0.82,0,0.82,0,1.64,0,0,0.82,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0.81,0.81
 48-58,0,0,0,0,0,1.15,0.57,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,1.96,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,1.09,0,0,0,0,1.09
108-118,0,0,0,0,0.77,1.53,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96
