stage,epidermis,eye,fast.muscle,fin.epithelia,glial,ionocyte,lateral.line,mesenchyme,muscle,neural,periderm,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,7.39,0.82,0,1.64,0,0,0
 36-46,0,2.42,0.81,0,0,0,0,1.61,0,2.42,1.61,0,1.61,0,0,0
 48-58,0,2.3,0,0,1.72,0,0,1.15,0.57,4.02,1.72,0,1.15,0,0,0
 60-70,0,0,0,1.96,0.98,0,0,0.98,0,0.98,0.98,0,0,0,0,0.98
 72-82,0,4.91,0,0,0,0,0,2.94,0,10.8,4.91,0,0,0,1.96,0
 84-94,1.06,3.19,0,0,1.06,0,0,2.12,1.06,2.12,5.31,0,0,0,0,0
 96-106,0,1.09,0,0,0,0,0,0,0,2.19,21.86,0,0,0,0,1.09
108-118,0,0,0,0,0,0.77,0.77,0,0,2.3,6.13,0,0,0.77,0,0
120,1.96,0,0,0,0,0,0,1.96,0,7.84,13.72,0,0,0,0,0
