stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,lateral.line,mesenchyme,mucous,neural,notochord,olfactory,periderm,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,2,0,0,0
 24-34,0,0,0,0,0,0,1.64,0,0.82,0,0,6.57,0,0,0.82,0,0.82,0,0.82,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,7.25,0,0,1.61,0,2.42,0,0,0
 48-58,0,0,0,0,2.3,0,0.57,0,0,1.72,0.57,4.59,0,0,0,0,1.15,0,0,0
 60-70,0,0,0,0,16.69,0,0,0,0,0,0,12.76,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,0.98,17.67,0,0.98,0,0,2.94,0,5.89,0,0,0.98,0,0,0,0,0
 84-94,0,0,1.06,1.06,12.74,0,2.12,0,0,2.12,0,4.25,0,1.06,0,0,2.12,0,0,0
 96-106,0,0,0,0,9.84,0,0,1.09,0,2.19,0,3.28,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,7.66,0.77,0,0,0,3.06,0,3.83,0.77,0,0,0,0,0,0,0.77
120,0,0,0,0,3.92,0,1.96,1.96,0,0,0,3.92,0,0,0,0,0,1.96,0,0
