stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,1001.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0
  5-6,0,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,3.15,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,12,1,0,0,0,4,8,6,0,0,0,0
 24-34,0,0,0,0.82,0,3.28,0,0,0,0,0,0,2.46,0,0,2.46,18.88,0,0.82,0,0,0,0.82,3.28,0,0,0,0
 36-46,0,0,0,0,0,2.42,0,0.81,0,0,0,0,3.22,0,0,0,9.67,0.81,0.81,0,0,0,0,2.42,0,0.81,0,0
 48-58,0,0,0,0.57,0,0.57,0,2.3,0,0,0,0,5.16,0,0,1.15,4.02,0,1.15,0,0,0,0,2.87,0,0,0,0
 60-70,0,0,0,0,0,0,0,1.96,0,0,0,0,12.76,0,0,0.98,5.89,0,0,0,0,0,0,0.98,0,0,0,0.98
 72-82,0,0,0,0.98,0.98,1.96,0,14.72,0,0,0,0.98,25.52,0,0.98,3.93,5.89,0,1.96,0,0,0,0,0.98,0.98,1.96,0,0
 84-94,0,0,0,2.12,1.06,1.06,0,4.25,0,0,0,0,15.93,0,0,2.12,1.06,0,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,3.28,1.09,1.09,0,1.09,0,1.09,0,1.09,15.3,1.09,0,6.56,3.28,0,0,0,0,0,0,0,1.09,0,0,2.19
108-118,0,0,0.77,1.53,0,1.53,0.77,4.6,0.77,0,0.77,0,17.62,0,0,3.06,3.06,0,0,0,0,0,0,1.53,0.77,0,0,0.77
120,0,0,0,1.96,7.84,1.96,0,7.84,0,0,1.96,0,9.8,0,1.96,1.96,7.84,0,0,0,0,0,0,0,0,9.8,1.96,0
