stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,7.89,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,3.15,0,0,0
 14-21,0,18,2,0,0,0,0,0,0,0,0,0,1,7,0,1,0,1,0,1,6,0
 24-34,0,4.93,0,0,1.64,0,0,0,0,0,0,0,0,37.76,0,0,0,0.82,0,0,7.39,0
 36-46,0,2.42,0,3.22,1.61,0,4.83,0,0,0,0,0,0.81,102.32,0,0,0,4.03,0,0,12.89,0
 48-58,0,1.15,0,9.75,1.15,0.57,8.03,0,0.57,0,0,0,2.87,100.42,0,0,0,2.3,0,0,12.62,0
 60-70,0,3.93,0,15.7,0.98,0,6.87,0,0,0,0,0,0.98,91.28,0,0,0,1.96,0,0,12.76,0
 72-82,0,1.96,0,9.82,0,0,3.93,0,0,0,0,0,2.94,89.33,0,1.96,0,0,0,0,4.91,0.98
 84-94,0,3.19,0,12.74,2.12,1.06,1.06,0,0,2.12,0,0,0,47.79,0,2.12,0,3.19,0,0,4.25,1.06
 96-106,0,5.46,0,9.84,0,0,9.84,0,1.09,1.09,0,0,1.09,48.09,1.09,1.09,0,2.19,0,0,0,1.09
108-118,0,9.19,0,7.66,0.77,0,3.06,0,0,2.3,0.77,0,2.3,46.72,0,1.53,0,2.3,0,0,0.77,0.77
120,0,0,0,7.84,1.96,0,7.84,1.96,0,1.96,0,1.96,1.96,47.03,0,1.96,0,0,1.96,0,1.96,0
