stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,1067.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,490.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,7.89,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,68.35,10.51,0,0,63.09,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.82,9.44,0,0,40.91,0,0,3.15,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,2,2,12,4,0,4,0,0,0,2,4,0,1,0,0,0,0,0,9,0,0,12,113,1,1,1,6,0,0,1,16,1,19,62,0,0,1,0,0
 24-34,0,0,7.39,0,1.64,0,0,5.75,0,0,0.82,5.75,0,0,0,0,0,0,0,0,15.6,0,0,9.03,123.13,0,9.85,1.64,0,0,0,0,0,0.82,3.28,40.22,0,0,0.82,0,0
 36-46,0,0,1.61,0,0,0,0,9.67,0,0,0.81,8.06,0,0,0,0,0,0,1.61,0,15.31,0,0,8.06,228,0,12.09,0,0,0,0,0,0,0,0,54.79,0,0,0,0,0
 48-58,0,0,2.3,0,1.15,0,0,15.49,1.15,0,0.57,16.64,0,0,0,0,0,0,1.72,0,32.13,0.57,0,5.16,223.78,0,9.75,2.87,0,0,0,0,0,0.57,0,51.64,0,0,1.15,0,0
 60-70,0,0,2.94,0,0.98,0,0,67.73,0,0,0,21.59,0.98,0,0,0,1.96,0.98,0.98,0,42.21,0.98,1.96,8.83,334.7,0,13.74,0.98,0,0.98,0,0,0,0,0,45.15,0,0,0.98,0,0
 72-82,0,0,18.65,0,6.87,0,0,98.17,0,0.98,0.98,36.32,3.93,0,0,0,0,0,1.96,0,74.61,0,0.98,9.82,325.91,0,21.6,0.98,0,0,0,0,0,0,0,14.72,0,0.98,1.96,1.96,0
 84-94,0,0,14.87,0,6.37,0,0,80.71,1.06,0,0,19.12,5.31,0,0,0,1.06,0,4.25,0,47.79,0,2.12,2.12,149.75,1.06,9.56,0,0,0,1.06,0,0,0,0,11.68,1.06,0,0,1.06,0
 96-106,0,0,18.58,0,6.56,1.09,0,87.43,0,0,0,14.21,8.74,0,0,2.19,0,1.09,5.46,0,39.34,0,0,2.19,147.53,0,16.39,3.28,0,0,1.09,2.19,0,0,0,8.74,2.19,0,0,2.19,1.09
108-118,0,0,14.55,0,1.53,0,0.77,69.7,0,0.77,0.77,14.55,3.06,0,0,2.3,0.77,0,2.3,0,23.74,0,0,0.77,186.89,0,9.19,0.77,0,0,0.77,0,0,0,0,3.06,1.53,0,1.53,0.77,0.77
120,0,0,9.8,0,0,0,0,35.28,0,0,1.96,11.76,1.96,0,0,3.92,0,0,1.96,1.96,13.72,0,1.96,0,197.94,0,9.8,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0,0
