stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,5.26,0,0,0,0,7.89,0,0,0,0,0,0,0,0,21.03,0,0,18.4,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,0,6.29,0,0,0,0,6.29,0,0,0,0,0,0,0,0,18.88,9.44,0,12.59,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,1,3,0,0,0,1,0,0,0,0,0,0,1,0,1,35,1,0,0,0,0,2,1,0,2,18,0,0
 24-34,0,0,0,0,3.28,0.82,0.82,2.46,0,0,0,0,0.82,0,0.82,4.93,0,3.28,59.1,4.93,0,0,0,0,0,0,0,1.64,28.73,4.1,0
 36-46,0,0,0.81,0,4.83,0,0.81,0.81,0,0,0,0,0,0,0,3.22,0,0.81,23.36,1.61,0.81,0,0,1.61,0,0,0.81,0,22.56,1.61,0
 48-58,0,0,1.15,0,5.16,0,0,4.02,0,0,0,0,0,0,0,5.16,0,0.57,25.25,1.15,1.15,0,0,0.57,0,0,0,0,12.62,0,0
 60-70,0,0,0,0.98,9.82,0.98,0.98,1.96,0,0,0.98,0.98,0.98,0,0,7.85,0.98,0,16.69,0,0,0,0,0,0,0,0,0,11.78,0,0
 72-82,0,0,0,0,8.83,0,0,8.83,0,0,0,0,0,0.98,0,6.87,0,0,12.76,0,0.98,0,0,0.98,0,0,0,0,3.93,0.98,0
 84-94,0,0,1.06,0,8.5,1.06,0,9.56,0,0,0,0,1.06,0,0,5.31,0,3.19,7.43,0,0,1.06,1.06,4.25,0,1.06,0,0,1.06,1.06,0
 96-106,0,0,0,0,4.37,0,2.19,4.37,0,0,0,0,1.09,0,0,1.09,0,1.09,5.46,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0.77,6.13,0.77,0,2.3,0,0,0,0.77,0,0,0,1.53,0,1.53,9.96,0,0.77,0,0,0.77,0,0,0,0,0,0.77,0
120,0,0,1.96,0,5.88,0,0,3.92,0,0,0,1.96,0,0,1.96,3.92,0,3.92,13.72,0,0,0,0,1.96,0,0,0,0,0,0,1.96
