stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,heart,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,1,0,1,0,0,1,8,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0,0,10.67,0,0,0,0,0,0,0,0.82,4.93,0,0,0
 36-46,0,0,0,2.42,0.81,0,0.81,0,0,0,1.61,0,0.81,0,10.47,0,0.81,0,0,0.81,0,0,0,2.42,0.81,0,0.81
 48-58,0,0.57,0,4.59,1.15,0,0,0,0,0,2.87,0,0,0,3.44,0.57,0,0.57,0,0,0,0,0,2.87,0,0,0
 60-70,0,0,0,8.83,0.98,0,0,0,0,1.96,3.93,0,0,0,12.76,0,0,0,0,0,0,0,0,4.91,0.98,0,0
 72-82,0,0.98,0,6.87,0.98,0,0,0,0,0,3.93,0,0,0,18.65,0,0,0,0.98,0,0,0,0,0.98,0,0,0
 84-94,0,2.12,0,6.37,0,1.06,0,0,0,1.06,3.19,1.06,0,1.06,10.62,0,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,4.37,2.19,0,0,1.09,0,0,5.46,2.19,0,0,5.46,0,0,1.09,0,3.28,0,0,0,0,3.28,0,0
108-118,0,0.77,0,1.53,0.77,0,0,0,0.77,0,1.53,0,0.77,0,9.19,0,0,0,0,0.77,0,0,0,0,0.77,0.77,0
120,0,3.92,0,1.96,1.96,1.96,0,0,0,0,5.88,0,0,0,7.84,0,0,0,0,1.96,0,0,0,0,0,0,0
