stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0
 24-34,0,0,2.46,1.64,0,0,6.57,0,0,0,0,0,0,1.64,0,0,0,13.13,0,0,0,0,0,8.21,0,0,0,0
 36-46,0,0,0.81,0,0,1.61,1.61,0.81,0,0.81,0,0,0.81,0.81,0.81,0,0,8.06,0,0,0,0,0,4.83,0,0,0,0
 48-58,0,0,0,0,0,3.44,1.15,1.15,0,0,0,0,1.15,0,0,0,0,6.31,0,0,1.72,0,0,1.15,0,0,0,0
 60-70,0,0,0,0.98,0,27.48,0,0.98,0,0,0,0,4.91,0,0,0,0.98,5.89,0,0.98,1.96,0,0.98,1.96,0,0,0,0
 72-82,0,0,0,0.98,0,53.01,0.98,0,0,0,0,0,5.89,0,0,4.91,0,9.82,0,0,14.72,0,0,1.96,0,0,0,0
 84-94,0,0,1.06,0,0,101.96,0,1.06,0,0,1.06,0,6.37,0,0,2.12,0,4.25,0,0,3.19,2.12,0,0,0,1.06,1.06,0
 96-106,0,0,0,0,2.19,78.68,2.19,1.09,1.09,0,1.09,0,9.84,0,0,0,0,5.46,0,0,7.65,3.28,0,1.09,1.09,0,0,0
108-118,0,0,0.77,0.77,0,58.21,0,0.77,0,0.77,0.77,0.77,7.66,0,0,2.3,0,0,0,0,8.43,0.77,0,0.77,0,0,0,0.77
120,0,0,0,0,0,9.8,0,0,0,0,0,0,5.88,0,0,0,0,5.88,0,0,9.8,0,0,0,0,0,0,0
