stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,13.14,0,0,0,13.14,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,241.84,2.63,0,0,57.83,0,0,0,0,0,0,0,0,0,0
 10-12,0,47.2,62.94,0,12.59,0,25.18,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,928.36,25.18,0,0,308.4,0,3.15,0,15.73,0,3.15,0,0,0,0
 14-21,0,0,1,16,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,35,3,0,1,0,1,0,5,1,1,8,12,0,1,0
 24-34,0,0,0,2.46,0.82,0,3.28,0,0.82,0,0.82,0,0,0,0,0,0,0.82,0,0,5.75,0,0.82,4.93,38.58,0,0,0.82,0,7.39,0,0,0,0,2.46,8.21,0,0.82,0
 36-46,0,0,0,0,0,0,6.45,0,0,0,0.81,0,0,0,0,0,0,0,0,0,4.03,0,0,0.81,16.11,0,0,0,0,4.03,0,0,0,0,0,2.42,0,1.61,0
 48-58,0,0,0,2.3,0.57,0,17.79,0,0,0,4.59,0,0,0.57,0,0,0.57,1.15,0,0.57,14.92,1.15,0.57,1.15,60.82,0,0.57,0.57,0,5.74,0,0,0,0,0,10.9,0,0.57,0
 60-70,0,0,0,0.98,0,0,10.8,0.98,0,0,3.93,0.98,0,0,0.98,0,0,0,0.98,0.98,13.74,0,0,1.96,12.76,0,0,0.98,0,2.94,0,0,0,0,0,0.98,0,1.96,0
 72-82,0,0,0,0.98,1.96,0,16.69,0.98,0.98,2.94,3.93,0,0,0,0,0,0,0,0,0,13.74,0,0,2.94,24.54,0.98,0,0.98,0,2.94,0,0,0,0,0,4.91,0,1.96,0
 84-94,0,0,0,3.19,0,0,16.99,0,2.12,0,4.25,0,0,0,0,2.12,0,0,0,0,14.87,0,0,1.06,13.81,0,0,0,0,12.74,0,0,0,0,0,4.25,0,2.12,0
 96-106,0,0,0,1.09,0,1.09,2.19,0,0,0,0,1.09,0,0,0,1.09,0,0,0,0,1.09,0,0,2.19,6.56,0,0,0,0,6.56,0,0,0,0,0,0,2.19,2.19,1.09
108-118,0,0,0,1.53,0,0,4.6,0,1.53,0,3.06,0.77,0,0.77,0,0.77,0,1.53,0,0,9.96,0,0.77,2.3,22.21,0.77,0.77,0.77,0,11.49,0,0,0,0,0,0,0.77,2.3,0.77
120,0,0,0,7.84,1.96,0,15.68,1.96,0,1.96,9.8,3.92,0,0,5.88,3.92,0,0,0,0,7.84,0,0,5.88,23.52,1.96,1.96,1.96,0,29.4,0,1.96,0,0,0,0,0,7.84,0
