stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,4,0,1,0,0,0
 24-34,0,0,0,0,0,1.64,0,0.82,0,0,0,0,0.82,0,0,0,0,0.82,0,0,4.1,0,0,0,0,3.28,0,0,6.57,0.82,0,0,0.82
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0.81,0.81,2.42,0,0.81,0,0,0.81,0,0,11.28,0.81,0,0,7.25
 48-58,0,0,0,0,0,0,0,0.57,0.57,0,0,0,0,0,0,0,0,0.57,0.57,0,1.15,0,1.15,0,0,0,0,0,4.02,0,0,0,4.59
 60-70,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0.98,2.94,0,1.96,0,0,0,5.89,0,0.98,0,0,1.96,0,0,11.78,0,0,0,2.94
 72-82,0,0,0,0,0,0,0,1.96,0,0,1.96,19.63,0,0,0,0,13.74,0,0.98,0,8.83,0,0,0,0,0.98,0,0,23.56,1.96,0.98,0,0
 84-94,0,0,0,0,1.06,1.06,0,1.06,0,0,0,32.92,0,0,5.31,0,24.43,0,1.06,0,3.19,0,0,0,0,2.12,0,0,70.09,0,0,1.06,2.12
 96-106,0,0,2.19,1.09,3.28,3.28,2.19,7.65,1.09,1.09,2.19,110.38,0,1.09,4.37,0,77.59,0,8.74,0,21.86,0,2.19,2.19,0,3.28,0,0,78.68,0,1.09,0,0
108-118,0,0,0,2.3,0.77,0.77,2.3,4.6,0,0,1.53,175.41,0,0.77,3.83,1.53,70.47,0,0.77,0.77,21.45,0,1.53,1.53,0,3.83,0,0,58.98,0,0.77,0,0
120,0,0,0,0,1.96,1.96,3.92,0,0,0,1.96,88.19,0,0,0,0,58.79,0,1.96,0,19.6,0,1.96,3.92,0,0,0,0,52.91,1.96,0,0,0
