stage,axial,blastomeres,epidermis,eye,fin.mesenchyme,glial,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vasculature
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,12.26,42.91,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,1,4,0,0,0,0,0,3,0,0
 24-34,0,0,0.82,0.82,0,0,0.82,0,0,9.85,0,0.82,0,0,0.82,2.46,0,0.82
 36-46,0,0,0,0,0,0.81,0,0,0,8.06,0,0,0,0,0,4.83,0,0
 48-58,0,0,0,1.15,0,1.15,0,0,0,3.44,0,0,0,0,0,1.15,0,0
 60-70,0,0,0,0,0,2.94,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,1.06,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,1.09,1.09,0,0,1.09,3.28,1.09,0,1.09,0,0,0,0
108-118,0,0,0,1.53,0.77,0.77,0.77,0.77,0,3.06,0,0,0,0,0,0,0,0.77
120,0,0,1.96,0,0,0,0,0,0,3.92,0,0,0,0,0,0,1.96,0
