stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,461.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,2.63,0,2.63,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,31.54,2.63,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,3.15,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,56.65,3.15,0,0,18.88,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,17,8,2,0,0,0,3,0,0,0,0,2,0,0,0,0,3,0,0,2,37,1,2,1,1,0,0,0,3,1,10,9,0,0,2,0,0
 24-34,0,0,0.82,0,5.75,0,5.75,0,0,2.46,4.1,0,0,0.82,0.82,2.46,0,0.82,0,0.82,16.42,0,0,11.49,77.98,0,6.57,0.82,0,0,6.57,0,0,1.64,3.28,17.24,0,0,10.67,0,0
 36-46,0,0,0,0,4.03,0,4.03,0.81,0,3.22,4.83,0,0,0,1.61,0.81,0,3.22,0,0,19.34,0.81,0.81,10.47,102.32,0,4.03,0.81,0,0,12.09,0,0,1.61,0,14.5,0,0.81,5.64,0,0
 48-58,0,0,0,0,1.72,0,10.9,0,0.57,2.87,6.89,0,0,2.3,1.72,1.15,0.57,0,0,0,19.51,0,0.57,4.59,74.02,0,1.15,0.57,0,0,4.02,0,0,0.57,0,14.92,0,0,7.46,0,0
 60-70,0,0,0,0,5.89,0,13.74,0,0,2.94,8.83,0,0,4.91,1.96,0,0.98,0.98,0,0,18.65,0,2.94,6.87,75.58,0,3.93,1.96,0,0,10.8,0,0,0.98,0,14.72,0,0.98,8.83,0,0
 72-82,0,0,0.98,0,6.87,0,19.63,0,0,5.89,12.76,0,0,3.93,10.8,0,0.98,5.89,0,0,40.25,0,2.94,4.91,67.73,0,4.91,0.98,0,0,1.96,0.98,0,0.98,0,12.76,0,1.96,19.63,1.96,0
 84-94,0,0,0,0,11.68,3.19,12.74,0,2.12,1.06,6.37,1.06,0,0,12.74,0,5.31,2.12,0,0,19.12,0,3.19,6.37,39.3,0,2.12,1.06,0,0,21.24,0,0,1.06,0,2.12,1.06,1.06,22.3,2.12,0
 96-106,0,0,0,0,12.02,2.19,4.37,0,0,1.09,0,3.28,0,1.09,37.16,1.09,10.93,12.02,0,0,18.58,1.09,5.46,4.37,55.74,1.09,8.74,1.09,0,2.19,17.49,0,0,1.09,0,4.37,1.09,2.19,19.67,2.19,0
108-118,0,0,0,0,13.02,0,7.66,0,2.3,1.53,3.83,0.77,0,1.53,30.64,0.77,4.6,6.13,3.06,0,23.74,0,3.06,1.53,39.83,0,3.06,0.77,0,0,13.02,0,0,0.77,0,0.77,0,0,20.68,0.77,0.77
120,0,0,0,0,17.64,1.96,0,0,0,1.96,3.92,3.92,0,0,29.4,0,0,1.96,0,0,13.72,0,7.84,1.96,54.87,0,5.88,0,0,0,3.92,0,0,0,0,3.92,0,1.96,7.84,0,0
