stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,10.51,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,44.69,2.63,0,0,26.29,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,31.47,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,15.73,0,0,25.18,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,38,52,10,0,10,0,0,3,12,0,0,0,0,0,0,0,22,0,0,14,54,77,1,7,1,0,2,0,9,11,0,0,59,0,0,0,0,0
 24-34,0,0,0,10.67,5.75,0.82,0,28.73,2.46,0.82,9.85,5.75,0,1.64,0,0,0,0,4.1,56.64,0,0,19.7,78.8,27.91,0.82,4.93,0,0,5.75,0,0,24.63,0,2.46,32.01,0,0,3.28,0,0
 36-46,0,0,0,0.81,6.45,0,0,20.14,0,2.42,11.28,1.61,0,6.45,0,0,0,4.03,3.22,57.2,0,2.42,33.84,49.95,28.2,0.81,4.03,0,0,7.25,0,0,12.89,0,0,32.23,0,0,3.22,0,0
 48-58,0,0,0,1.15,4.02,0,0,24.1,0,4.02,24.1,0.57,0,8.61,0,0.57,0,4.02,0.57,88.37,0,1.15,18.94,28.12,14.35,0,7.46,0,0.57,3.44,0,0,14.92,0,0,25.25,0,1.15,5.74,1.15,0.57
 60-70,0,0,0,0,10.8,0,0,20.61,0.98,2.94,48.09,1.96,0,12.76,0,0.98,1.96,6.87,0.98,110.91,0.98,2.94,16.69,32.39,12.76,0,4.91,0,0,7.85,0,0,13.74,0,0,20.61,0,3.93,12.76,3.93,0.98
 72-82,0,0,1.96,0,11.78,1.96,0,68.72,0.98,8.83,102.09,11.78,0,19.63,0.98,0.98,0.98,17.67,2.94,281.74,0,5.89,21.6,51.05,5.89,2.94,14.72,0,8.83,8.83,0,0,21.6,0,0,36.32,0,13.74,34.36,15.71,1.96
 84-94,0,0,0,0,21.24,0,1.06,123.2,3.19,4.25,75.4,18.05,0,6.37,0,10.62,4.25,14.87,2.12,227.28,0,10.62,19.12,30.8,14.87,0,16.99,0,2.12,24.43,0,0,35.05,1.06,0,24.43,2.12,13.81,15.93,11.68,0
 96-106,0,0,1.09,1.09,32.79,0,2.19,123.49,3.28,8.74,85.24,9.84,0,21.86,2.19,7.65,2.19,32.79,5.46,201.08,0,14.21,9.84,40.44,16.39,3.28,34.97,0,7.65,27.32,0,0,50.27,0,0,41.53,0,15.3,41.53,14.21,0
108-118,0,0,2.3,1.53,37.53,0.77,1.53,159.32,3.83,8.43,78.89,11.49,0,13.02,0.77,3.83,3.83,29.11,6.13,183.83,0.77,7.66,14.55,39.83,13.02,2.3,31.4,0,11.49,25.28,0,0,29.87,0,0,25.28,3.83,10.72,45.19,8.43,0
120,0,0,1.96,0,41.16,0,1.96,86.23,1.96,5.88,78.39,3.92,0,7.84,1.96,3.92,0,23.52,1.96,160.7,1.96,7.84,7.84,58.79,7.84,0,23.52,0,11.76,33.32,1.96,0,27.44,0,0,25.48,0,5.88,35.28,7.84,0
