stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,137,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0
 24-34,0,0,0,140.37,0,0,0.82,15.6,0,0,0,0,1.64,0,0,0,0,0.82,0.82,0,1.64,15.6,0,0.82,0,1.64,0,0.82,4.1,0,0.82,0,0
 36-46,0,0,0,69.29,0,0,4.83,9.67,0,0,0,0.81,2.42,0,0,0,0.81,2.42,0,0,0,8.06,0.81,0,0,8.86,0,0,1.61,0,0,0,0
 48-58,0,0,0,63.69,0,0,12.62,22.38,1.72,0,0,0,2.3,0,0,0,1.15,2.3,0,0.57,0.57,13.2,0,0,0,8.03,0,0,2.87,0,0,0,0
 60-70,0,0,0,83.43,0,0,13.74,26.5,1.96,4.91,0,0,32.39,0,0,0,0,1.96,0.98,0,0,8.83,0,0,0,5.89,0,0,1.96,0,1.96,0,0
 72-82,0,6.87,0,107,0,0,21.6,26.5,0,18.65,0,0,4.91,0,0,0,0,6.87,0.98,0.98,0.98,21.6,0,0.98,0,2.94,0,0,1.96,0.98,4.91,5.89,0
 84-94,0,3.19,0,190.1,0,0,63.72,58.41,0,32.92,0,0,15.93,0,0,0,0,7.43,2.12,0,0,7.43,0,0,0,21.24,0,0,1.06,0,0,9.56,0
 96-106,0,4.37,0,212.01,0,1.09,51.36,45.9,1.09,29.51,0,1.09,22.95,0,1.09,2.19,1.09,9.84,0,4.37,0,28.41,0,2.19,1.09,8.74,0,0,0,3.28,6.56,14.21,1.09
108-118,0,1.53,0,232.85,2.3,0,81.19,51.32,1.53,32.17,0,0,22.21,0.77,0,1.53,0,8.43,0.77,0,0.77,16.09,0,0,0,8.43,0.77,0,0,2.3,3.83,6.13,0.77
120,0,1.96,0,192.06,0,0,23.52,58.79,0,37.24,0,1.96,29.4,1.96,0,1.96,0,5.88,1.96,1.96,1.96,17.64,0,0,0,13.72,1.96,0,1.96,1.96,3.92,3.92,0
