stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,0,0,0,0,15.77,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,0,0,0,0,2,0,2,9,0,0,0,1
 24-34,0,0,0,0,0,10.67,0,0,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0,1.64,392.37,0,0,1.64,0,0,0,0.82,0,47.61,0,0,0,0
 36-46,0,0,0,0,0,191.75,0,0,0,17.72,0,0,0,0,0,0,0,0,0,0,0,0.81,689.65,0,0,0,0,0,1.61,0,0,95.07,0,0.81,0,0
 48-58,0,0,1.72,0,0,447.57,0.57,0,1.15,32.71,0,0,0,0,0,0,0,1.15,4.02,0,0,0.57,608.81,0,1.15,0,0,0,0,0,0,63.69,0,0,0,0.57
 60-70,0,0,1.96,0,0,1216.11,0,0,0,58.89,0,0,0,0,0,0,1.96,0,1.96,0,0.98,0,903,0,0,0.98,0,2.94,0.98,0,0,77.54,1.96,0,0,0.98
 72-82,0,0,0.98,0.98,0,966.94,0.98,0,0.98,40.25,0.98,0,0.98,0.98,0,0,0,0,15.71,0,0,0,770.6,1.96,0.98,0,0,0.98,0,0,0,15.71,0.98,1.96,0,0.98
 84-94,0,1.06,9.56,2.12,0,533.14,0,1.06,0,52.04,1.06,0,0,0,1.06,1.06,0,0,13.81,0,2.12,0,448.18,0,0,2.12,0,2.12,0,0,0,24.43,1.06,0,1.06,0
 96-106,0,0,4.37,0,0,392.33,0,0,1.09,31.69,1.09,0,1.09,1.09,0,0,0,1.09,7.65,0,0,1.09,313.65,0,0,0,0,2.19,0,0,0,2.19,0,0,1.09,0
108-118,0,0,7.66,0.77,0.77,266.56,0,0.77,0,32.17,0.77,0,0,0,0,0,0,0,4.6,0,0,0,366.9,0.77,0,0,0,0,0,0,0,3.83,0,0.77,0.77,0.77
120,0,0,1.96,0,0,176.38,0,0,0,39.2,0,0,0,0,0,0,0,0,1.96,1.96,0,0,370.4,0,0,0,0,0,0,0,0,11.76,0,0,0,0
