stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,27,3,0,13,0,0,0,6,0,1,0,0,0,0,0,0,0,15,0,0,9,233,0,0,3,7,7,13,1,2,10,67,0,0,0,0,0
 24-34,0.82,15.6,2.46,0,156.78,0,0,0,9.03,0,0,0.82,1.64,4.1,0.82,3.28,0.82,0.82,68.95,0,0,23.8,815.93,0.82,4.93,9.03,0,18.06,0,0,0,2.46,164.99,0,0,10.67,0,0.82
 36-46,0,8.06,5.64,0,230.42,0.81,0,0.81,10.47,0.81,0,0.81,0,0,0.81,0,0.81,0.81,53.17,0,1.61,8.06,407.67,0,1.61,3.22,0,12.89,0,0,0,0,81.37,0,0,7.25,0,0
 48-58,0.57,4.02,2.3,0,332.81,0,0,0,18.36,1.72,0,0.57,1.72,0.57,1.15,0.57,0.57,0,71.15,0,2.87,11.48,222.64,0,2.3,2.87,0,3.44,0,0,0,0,40.17,0,0,4.59,0,0.57
 60-70,0,17.67,0.98,0.98,189.43,0,0.98,0.98,18.65,5.89,0,1.96,0,0,1.96,2.94,0.98,0,53.98,1.96,6.87,3.93,134.47,0,0.98,0,0,8.83,0,0,0,0,10.8,0,0,1.96,0,0
 72-82,0,6.87,2.94,0,78.53,0,0,0,19.63,0.98,0,0.98,0,0,0.98,0,0.98,0,55.95,0,1.96,8.83,97.18,0.98,1.96,1.96,0,4.91,0,0.98,0,0,2.94,0,0.98,3.93,0,0
 84-94,0,11.68,5.31,2.12,89.21,0,2.12,4.25,15.93,1.06,0,1.06,3.19,1.06,1.06,0,1.06,0,45.67,1.06,7.43,9.56,64.78,0,1.06,3.19,0,5.31,0,0,0,0,3.19,0,0,10.62,0,0
 96-106,0,5.46,0,0,40.44,1.09,0,0,5.46,2.19,0,1.09,1.09,1.09,0,1.09,0,0,19.67,0,1.09,5.46,60.11,1.09,1.09,3.28,0,1.09,0,0,0,0,0,0,0,6.56,1.09,0
108-118,0.77,2.3,9.19,1.53,36,0,0,0,6.89,2.3,0,0.77,1.53,0,0.77,1.53,0.77,0.77,15.32,0,3.06,5.36,62.04,0,3.06,1.53,0,2.3,0,0.77,0,0,1.53,1.53,0,3.83,0.77,0
120,1.96,7.84,27.44,0,94.07,0,0,3.92,21.56,5.88,0,0,3.92,1.96,1.96,0,1.96,0,33.32,0,1.96,3.92,115.63,1.96,0,3.92,0,3.92,0,1.96,0,0,0,0,0,7.84,0,0
