stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,vasculature
  3-4,52.71,500.76,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,6.29,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,0.82,0,0,0,2.46,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0.57,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,1.96,0.98,0.98,0,0.98,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,3.93,0.98,4.91,0,2.94,0,0,0,2.94,0,0,0,0,0
 84-94,0,0,0,5.31,1.06,1.06,0,5.31,1.06,1.06,0,2.12,1.06,0,0,0,0
 96-106,0,0,0,2.19,0,4.37,0,2.19,0,0,1.09,2.19,0,0,0,0,0
108-118,0,0,0,7.66,0,4.6,0,8.43,0,0,0,0.77,0,0,0,0,0.77
120,0,0,0,13.72,0,0,0,3.92,0,0,0,0,0,0,0,0,0
