stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,iridophores,liver,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,23.66,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,9.44,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,12,1,0,0,22,1,6,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,4.1,0.82,0,0,0,0,0,0.82,52.53,0,0,0,52.53,0,11.49,0,0.82,0
 36-46,0,0,0,0,0,0,6.45,0,0,0,0.81,0.81,0,0,0.81,3.22,0,0,80.57,0,0,0,31.42,0,23.36,0,0,0
 48-58,0,0,0,0,0,0,6.89,0,0,0,1.72,4.02,0,0,0.57,3.44,0,0,23.53,0,0,0,16.64,0,8.03,0,0,0
 60-70,0,0,0,0,0,0,13.74,0,0,0,0,18.65,0,0,0,3.93,0,0,21.59,0,0,0,18.65,0,2.94,0,0,0
 72-82,0,0,2.94,0,0,0,4.91,0.98,0,0,1.96,118.78,0,0,0.98,3.93,0.98,0,19.63,0,0,1.96,30.43,0,0,0,0.98,0
 84-94,0,0,3.19,0,0,1.06,4.25,0,0,0,2.12,182.67,0,0,0,1.06,0,0,12.74,0,0,1.06,40.36,0,0,0,0,0
 96-106,0,0,7.65,0,0,0,9.84,0,1.09,0,0,372.66,0,1.09,0,2.19,0,0,43.71,0,0,2.19,60.11,0,0,1.09,1.09,0
108-118,0,0,0.77,3.06,0.77,0,3.83,0.77,0.77,0.77,0.77,417.45,0,0,1.53,3.83,0,0.77,38.3,0,0,2.3,58.98,0,0,0,0,0.77
120,0,0,0,0,3.92,3.92,7.84,0,0,0,0,317.49,0,0,3.92,5.88,0,0,41.16,0,0,1.96,47.03,0,0,0,0,0
