stage,axial,blastomeres,endoderm,eye,glial,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,slow.muscle,spinal.cord
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,85.81,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,28.92,5.26,0,0,0,0
 10-12,0,0,3.15,0,0,0,12.59,0,3.15,0,0,0
 24-34,0,0,0,0,0,0,2.46,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,2.3,0,0,0,0.57,0
 60-70,0,0,0,0.98,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,0,0.98,1.96,2.94,0,0,0.98,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,0.77,1.53,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.96
