stage,axial,epidermis,erythrocytes,eye,glial,gut,iridophores,liver,mesenchyme,muscle,neural,notochord,otic,periderm,pronephros,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 24-34,0,0,0,0.82,0.82,0,0,0,0,0.82,3.28,0,0,0,0,0,0
 36-46,0,0.81,0,0.81,0,0,0,0,0.81,0,2.42,0,0,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,0,0,0.57,0,2.3,0,0,0,0.57,1.15,0
 60-70,0,0,0,0,1.96,0,0,0,0,0,2.94,0,0.98,0,0,0.98,0
 72-82,0,0,0.98,0.98,0.98,0,0,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,1.06,0,3.19,1.06,0,0,0,0,2.12,1.06,1.06,0,0,1.06,0
 96-106,0,0,0,0,1.09,0,0,1.09,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0.77,1.53,0,0.77,0,0,0.77,1.53,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,1.96,1.96,5.88,0,0,0,0,0,0
