stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,10,1,0,2,0,0,0,0,0,0,1,0,0,0,33,0,0,27,6,3,1,0,3,0,0,27,0,9,0,0,0,0,0,0
 24-34,0,2.46,0,0,4.1,1.64,3.28,1.64,0,0.82,0,0.82,0,0.82,0,163.35,0,0,167.45,38.58,0,0,0.82,0,0,0,0,0,3.28,9.85,0,0,0.82,0,0
 36-46,0,0,0,0,3.22,3.22,18.53,1.61,0,0,0,0.81,0,0,0,273.12,0,0,97.49,36.26,0,0,0,0,0,0.81,0,0.81,0,4.03,0,0,0.81,0,0
 48-58,0,2.3,0.57,0,6.31,1.72,25.25,1.15,0,0,0,0.57,0,0,0.57,232.39,0,0,71.15,27.54,0,0,0,0,0.57,1.15,0,0,0,5.16,0,0,0,0,0.57
 60-70,0,2.94,0,0,10.8,0.98,23.56,0.98,0,0,0,0.98,0,0,0,235.57,0.98,0,51.04,17.67,0,0,0,0,0,0,0,0,0,3.93,0,0.98,0,0.98,0
 72-82,0,2.94,0,0,24.54,0.98,45.16,2.94,0.98,0.98,0,0,0.98,0,0,242.47,0,0,71.66,26.5,0.98,0,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0.98
 84-94,0,6.37,0,0,26.55,3.19,38.23,2.12,1.06,0,0,0,0,0,1.06,233.65,0,0,57.35,15.93,0,0,0,0,1.06,1.06,0,0,0,2.12,1.06,2.12,0,2.12,0
 96-106,0,9.84,1.09,0,13.11,0,25.14,5.46,1.09,1.09,0,0,0,0,0,228.4,2.19,0,42.62,17.49,1.09,1.09,0,0,1.09,1.09,0,0,0,1.09,0,2.19,1.09,0,0
108-118,0,3.06,0.77,0.77,8.43,0.77,27.57,0,4.6,0.77,0,0,0,0,3.06,216.77,0,2.3,46.72,18.38,0,0,0.77,0,0,0.77,0,0,0,0,0,0.77,1.53,0,0
120,0,5.88,3.92,0,3.92,0,5.88,0,3.92,0,1.96,0,0,0,1.96,219.5,0,1.96,48.99,13.72,0,0,0,0,1.96,0,0,0,0,1.96,0,0,7.84,0,0
