stage,endoderm,epidermis,exocrine_pancreas,eye,glial,gut,lateral_line,mesenchyme,neural,olfactory,periderm,somites,spinal_cord,vasculature
 14-21,1,8,0,3,0,0,0,0,37,0,3,1,12,0
 24-34,0,0,0,0.82,0,0,0.82,0,11.49,0.82,0.82,0,12.31,0.82
 36-46,0,0,0,0,0,0,0,0,3.22,0.81,1.61,0,1.61,0.81
 48-58,0,0,0,0,0,0,0,0,2.87,1.15,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,2.94,0,0.98,0,0,0
 72-82,0,0,0,0,0,0.98,0.98,0.98,2.94,0,0,0,0,0
 84-94,0,0,3.19,1.06,1.06,0,1.06,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,1.09,1.09,2.19,0,0,0,0
108-118,0,0,2.3,0.77,0,1.53,0,0,1.53,0,1.53,0,0,0
120,0,0,0,0,0,7.84,0,0,0,0,0,0,0,0
