stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,3.15,0,0,0,6.29,0,0,0,0
 14-21,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,1,16,0,0,0,0,0,1,0,2,0,0,0
 24-34,0,0.82,0,0,0.82,0,0,0,0,0,0.82,0,0,0,3.28,0.82,0,50.07,1.64,0,0,0,0,0,0,5.75,0,0,0
 36-46,0,0,0,0,2.42,0,0,0.81,0.81,0,0,0,0,0,7.25,0,1.61,95.07,0,0,0,0.81,0,0,0,17.72,0,0,0
 48-58,0,0.57,0,0,16.07,0,0,0,1.72,0,0,0,0,0,3.44,0,1.15,150.91,0,0,0,0,0,0,0,16.64,0.57,0,0.57
 60-70,0,0,1.96,0,41.22,0.98,0,0,2.94,0,0,0.98,0,0.98,5.89,0,1.96,302.31,0,0,0,0,0,0,0,22.58,0,0,0
 72-82,0,0,1.96,0.98,67.73,0,0,0.98,5.89,0,0,0,0.98,0,13.74,0,0.98,241.49,0.98,0,0,0,0,0,0,11.78,0.98,0,0
 84-94,0,0,2.12,0,32.92,0,0,1.06,5.31,0,0,1.06,1.06,0,7.43,0,0,128.51,0,0,0,0,0,0,0,12.74,0,0,0
 96-106,0,0,1.09,0,29.51,0,0,0,2.19,1.09,0,3.28,1.09,0,14.21,0,1.09,101.63,0,1.09,0,0,0,0,0,4.37,0,2.19,0
108-118,0,0,2.3,0,28.34,0,0,0,2.3,1.53,0,0.77,3.06,0,5.36,0,0,110.3,0.77,0,0,0,0,0,0,6.13,0,0,0
120,0,0,1.96,0,35.28,0,1.96,0,7.84,1.96,0,0,1.96,0,3.92,0,0,186.18,0,0,0,0,0,0,0,1.96,3.92,0,0
