stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2,4,25,9,0,3,0,0,0,3,5,0,1,0,0,0,0,1,0,9,0,0,12,94,5,0,0,1,0,37,1,43,4,0,14,33,0,0,1,0,0
 24-34,5.75,0.82,26.27,0,0,13.95,0,2.46,0,3.28,1.64,0,1.64,3.28,7.39,0,3.28,0,1.64,29.55,0.82,0,13.95,217.53,2.46,11.49,7.39,0,0,162.53,0,0,4.1,0,17.24,50.89,0,0,14.78,0,1.64
 36-46,0.81,0,5.64,0.81,0,45.12,0.81,6.45,0.81,4.83,1.61,0,1.61,0,3.22,1.61,2.42,1.61,1.61,35.45,2.42,1.61,8.06,278.76,1.61,20.14,1.61,0,0,124.88,1.61,0,1.61,0,0,62.84,0,0,18.53,0,12.09
 48-58,2.3,0,7.46,0.57,0,88.37,0,5.16,1.15,10.9,1.15,0,1.72,0,2.3,1.15,3.44,1.72,2.3,45.33,1.72,0.57,6.89,266.82,0,9.18,5.16,0,0,98.12,0,0,1.72,0,0,47.63,0,0,19.51,0,24.1
 60-70,0.98,0,12.76,0.98,0,87.36,0.98,5.89,2.94,13.74,2.94,0,0.98,2.94,1.96,0.98,4.91,0,2.94,82.45,0.98,3.93,3.93,345.5,1.96,20.61,9.82,0,0.98,103.06,0,0,2.94,0,0,34.35,0.98,2.94,11.78,0.98,16.69
 72-82,7.85,0,19.63,3.93,0,106.02,0.98,3.93,4.91,24.54,20.61,0,5.89,4.91,3.93,0.98,4.91,3.93,2.94,117.8,1.96,1.96,9.82,452.55,0,32.39,31.41,0,0,193.39,0,0,3.93,0,0,20.61,0.98,3.93,22.58,3.93,12.76
 84-94,3.19,0,50.98,4.25,0,110.45,2.12,12.74,4.25,28.68,36.11,3.19,2.12,21.24,10.62,5.31,10.62,5.31,1.06,65.85,3.19,5.31,8.5,226.21,0,22.3,38.23,0,1.06,365.34,0,0,5.31,0,0,10.62,1.06,0,10.62,3.19,16.99
 96-106,4.37,0,68.85,5.46,1.09,177.04,1.09,10.93,2.19,30.6,59.01,0,2.19,20.76,25.14,5.46,32.79,5.46,2.19,76.5,7.65,4.37,4.37,248.08,1.09,29.51,67.76,0,1.09,519.1,0,0,14.21,0,0,15.3,7.65,1.09,18.58,4.37,19.67
108-118,5.36,1.53,102.64,4.6,4.6,150.13,0.77,18.38,5.36,34.47,90.38,0,0,16.09,26.04,10.72,18.38,16.09,2.3,64.34,7.66,3.83,9.96,284.94,0.77,30.64,46.72,0,1.53,437.36,0,0,8.43,1.53,0,6.89,15.32,0.77,13.02,2.3,19.92
120,1.96,0,88.19,7.84,0,86.23,3.92,21.56,0,39.2,92.11,0,1.96,11.76,13.72,3.92,25.48,11.76,1.96,48.99,7.84,1.96,1.96,341,0,25.48,31.36,0,1.96,297.89,0,0,5.88,0,0,9.8,1.96,3.92,9.8,0,17.64
