stage,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,glial,gut,immune,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0.82,0,2.46,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,1.61,0,0,0,1.61,0,2.42,0
 48-58,0,0,0.57,1.72,0,0.57,0,0,0,0,0,5.74,0,0,0.57,1.72,0,0.57,0.57
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0.98
 72-82,0,0,0.98,4.91,0,0.98,0,0,1.96,0.98,0,6.87,0,0,1.96,0.98,0,0,1.96
 84-94,1.06,0,1.06,0,0,0,1.06,1.06,0,0,0,1.06,0,0,0,2.12,0,1.06,0
 96-106,0,0,0,1.09,0,2.19,0,0,1.09,0,1.09,1.09,0,0,0,5.46,0,0,0
108-118,0,0,0.77,0.77,0,0,0,0.77,0.77,1.53,0,6.89,0,0,0.77,6.13,0,0,0
120,0,0,0,3.92,1.96,0,0,0,0,0,0,5.88,1.96,1.96,0,1.96,0,0,0
