stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,neural,olfactory,paraxial.mesoderm,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,122.59,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,14.78,0,0,0,3.28,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,45.92,0,0,0,5.64,0,0,0,0
 48-58,0,0,0,0,5.74,1.15,0.57,52.79,0,0,0,8.61,0,0,0,0
 60-70,0,0,0,0,23.56,0.98,1.96,130.54,0,0,0,11.78,0,0,0,0
 72-82,0,0,0,0,49.08,2.94,1.96,134.49,0.98,0,0,9.82,0,0,0.98,0
 84-94,0,0,1.06,0,23.36,1.06,3.19,74.34,0,0,0,8.5,1.06,0,0,0
 96-106,0,0,0,0,32.79,0,0,59.01,0,0,1.09,2.19,0,1.09,0,1.09
108-118,0,0,0,0,11.49,1.53,2.3,51.32,0,0,0,0,0,1.53,0,0
120,0,0,0,0,23.52,5.88,1.96,74.47,0,0,0,1.96,0,0,0,0
