stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,131.78,3004.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0
  5-6,140.98,2580.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,6.13,42.91,0,0,0,0,0,0,0
  7-9,10.51,5.26,13.14,0,0,36.8,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,276.01,0,0,0,70.98,0,0,2.63,0,0,0,0,0
 10-12,0,0,3.15,0,6.29,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,28.32,0,0,9.44,0,0,0,0,0
 14-21,0,0,3,34,6,6,0,0,2,3,1,0,0,0,1,0,0,8,6,0,0,4,109,2,0,0,2,1,11,0,10,39,0,3,5
 24-34,0,0,0,3.28,0,9.85,0,0,1.64,0,0,0,0,0,0,0,0.82,13.95,8.21,0.82,0,6.57,81.26,0,0.82,0.82,0,1.64,0,0,0.82,27.91,0,2.46,9.03
 36-46,0,0,0,1.61,0,9.67,0,0.81,2.42,0,0,0,0,0,0.81,0,0,3.22,7.25,0,0.81,3.22,53.17,0,0.81,0,0,1.61,0,0,0,9.67,0,2.42,3.22
 48-58,0,0,0,0,0,6.89,0,0,5.74,0.57,0,0,0,0,0,0.57,0,2.3,5.74,0,0.57,0.57,9.75,0.57,0,0,0,0,0,0,0,6.31,0,1.72,2.87
 60-70,0,0,0,0,0,7.85,0,0,3.93,0,0,0,0,0,0,0,0,0.98,7.85,0,0,1.96,8.83,0,0,0.98,0,0.98,0,0,0,1.96,0.98,0,1.96
 72-82,0,0,0,0.98,0,4.91,0,0,3.93,0,0,0,0.98,0,0,0,0,0,7.85,0,0,0.98,3.93,0,0,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,3.19,0,0,1.06,0,0,0,0,0,0,0,0,0,8.5,0,0,1.06,3.19,0,1.06,0,0,2.12,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,0,2.19,1.09,0,1.09,0,0,1.09,0,0,0,0,0,0,2.19,0,0,0,6.56,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,1.53,0,0,0,0.77,0,0,0.77,0.77,0,0,0.77,0.77,4.6,0,0,0.77,2.3,0,0,0,0,0,0,0,0,0.77,0,0,0
120,0,0,0,1.96,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,5.88,0,0,1.96,0,0,0,0,0,0,0,0,0
