stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,5,2,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,3,34,1,0,0,1,0,4,1,1,10,11,0,3,0
 24-34,0.82,4.93,0.82,0,21.34,0,0,0.82,0.82,0,0,0,0.82,0,0,6.57,0,0,4.1,71.41,0,0.82,0.82,16.42,0.82,0,0,0,4.1,11.49,0,1.64,0
 36-46,0,1.61,0,0,6.45,0,0,0,2.42,0.81,0,0,0,0,0.81,4.83,0.81,0,3.22,27.39,0,0.81,0,8.06,0,0,0,0,0,7.25,0,1.61,0
 48-58,0,1.15,0,0,6.89,0,0,0,2.3,0,0,0,0,0,0.57,2.3,0,0,0.57,17.21,0.57,0,0,1.72,0,0,0,0,0,0,0,0,0
 60-70,0,2.94,0,0,14.72,0,0,0,2.94,0,0,0,0,0,0,5.89,0,0.98,0,26.5,0,0,0,6.87,0,0,0.98,0.98,0,2.94,0,0.98,0
 72-82,0,0.98,0,0,53.01,0,0,0.98,7.85,0,0,1.96,0.98,0,0,10.8,0.98,0.98,0,27.49,0,0,0,8.83,0,0,0,0,0,0.98,0,1.96,0
 84-94,0,1.06,0,0,15.93,0,0,0,1.06,1.06,1.06,0,0,0,0,5.31,1.06,0,1.06,19.12,3.19,0,1.06,4.25,0,0,0,0,0,1.06,0,1.06,0
 96-106,0,1.09,1.09,0,10.93,0,1.09,0,7.65,1.09,0,1.09,1.09,0,0,4.37,0,0,2.19,12.02,0,2.19,1.09,1.09,0,0,0,0,0,0,0,2.19,0
108-118,0,3.83,0,0,6.89,0.77,0,0,4.6,0.77,0,0.77,0,0.77,0.77,4.6,0.77,0,0,15.32,0.77,0.77,1.53,9.19,0,0,0.77,0,0,1.53,0.77,1.53,0.77
120,0,9.8,0,1.96,9.8,0,1.96,1.96,5.88,3.92,0,0,0,0,0,1.96,0,1.96,1.96,37.24,0,1.96,0,7.84,0,0,0,0,0,1.96,0,1.96,0
