stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,158.14,1449.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,1397.56,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,12.26,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,13.14,0,31.54,0,0,0,34.17,0,0,0,0,18.4,0,0,0,0,0,0,0,0,425.85,18.4,0,0,165.61,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,18.88,0,0,0,31.47,0,0,0,0,3.15,0,0,0,0,0,0,0,0,188.82,0,0,0,100.7,0,0,0,6.29,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,30,4,0,24,0,0,2,0,0,0,0,0,0,0,19,0,18,207,1,0,2,4,0,1,30,0,0,53,48,0,0,0,0
 24-34,0,0,0,0,3.28,0,0,15.6,0,0,0,0,0,0.82,0,0,0,0,12.31,0,2.46,73.06,0,0,0,0,0,0,0,0,0,6.57,13.95,0,0.82,0,0
 36-46,0,0,0,0,2.42,0,0,12.09,0,0,2.42,0.81,0,0,0,0,0,0,4.83,0,3.22,69.29,0,0.81,0,0,1.61,0,0,0,0,0,16.92,0,0.81,0,0
 48-58,0,0,0,0,1.15,0,0,20.66,0,0.57,6.89,0.57,0,0,0,0,0,0,11.48,0.57,5.16,37.3,0,0,0.57,0,0.57,0,0,0,0.57,0,7.46,0,1.15,0,0
 60-70,0,0,0,0,0.98,0,0,25.52,0,0,7.85,0,0,0,0,0,0.98,0,5.89,0,1.96,36.32,0,0,0.98,0,0.98,0,0,0,0,0,4.91,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,20.61,0,0,13.74,0,0,0.98,0,0,0,0.98,19.63,0.98,3.93,25.52,0,0,0,0,0,0,0,0,0,0,2.94,0,0.98,0,0
 84-94,0,0,1.06,0,5.31,0,0,8.5,1.06,1.06,7.43,1.06,0,0,1.06,0,0,0,6.37,0,3.19,15.93,0,0,1.06,0,2.12,0,0,0,0,0,0,1.06,1.06,0,0
 96-106,0,0,0,0,2.19,1.09,0,5.46,0,1.09,3.28,0,0,0,0,1.09,2.19,0,7.65,0,7.65,20.76,0,0,1.09,0,4.37,0,0,0,0,0,1.09,0,0,0,1.09
108-118,0,0,0,0,6.89,1.53,0.77,9.96,0.77,0.77,9.19,0.77,0,0,2.3,1.53,0,0,13.02,0,9.19,30.64,0,0,0.77,0,0,0,0,0.77,0,0,0.77,0,0.77,0.77,0
120,0,0,0,0,5.88,0,0,7.84,1.96,1.96,7.84,1.96,0,0,0,0,0,0,17.64,0,3.92,23.52,0,0,0,0,0,0,0,0,0,0,3.92,0,3.92,0,0
