stage,epidermis,eye,fast.muscle,glial,hatching.gland,ionocyte,mesenchyme,muscle,neural,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0
 24-34,0.82,0,0,0,0,0.82,0,0,4.93,0,0.82,0,0.82,0,0
 36-46,0,2.42,0,0.81,0,0,1.61,0,3.22,0,0,0,0.81,0,0
 48-58,0.57,0,0,0,0,0,1.15,0,7.46,0.57,0,0,2.87,0,0.57
 60-70,0,7.85,0,0.98,0,0,0,0,13.74,0,0,0,0.98,0,0
 72-82,0,3.93,0,1.96,0.98,0,1.96,0.98,19.63,0,0,0,2.94,0,0.98
 84-94,0,6.37,0,1.06,0,0,3.19,1.06,6.37,0,0,0,0,0,0
 96-106,0,3.28,0,1.09,0,0,0,0,4.37,0,0,0,0,0,0
108-118,2.3,2.3,0.77,0,0,0,0.77,0,5.36,0.77,0.77,0,0,0,0
120,0,1.96,0,0,0,0,1.96,1.96,11.76,0,0,0,0,0,0
