stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,22.03,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,10,3,2,0,0,0,7,1,1,0,1,0,0,0,5,0,0,13,118,0,0,0,3,0,0,12,3,1,18,43,0,1,0,0
 24-34,0,0.82,0,3.28,0.82,16.42,0,0,0,7.39,1.64,0.82,0,0.82,0,0,0,8.21,0,0,10.67,124.77,0,2.46,0.82,0,0,0,0,0.82,0,3.28,32.83,0,0.82,0,0
 36-46,0,0,0,0,0,63.65,0.81,0,0.81,8.86,0,0,0,0,0,0,0,21.75,0,0,3.22,125.68,0,0,0.81,0,0,2.42,0,2.42,1.61,0,41.89,0,0.81,0,0.81
 48-58,0,0,0,0.57,0,143.45,0.57,1.15,1.72,13.2,0,0.57,1.15,0,0,0,0,29.26,0.57,0.57,1.72,101.56,0,1.15,0.57,0,0,0.57,0,0.57,0.57,0,18.36,0,0,0,0
 60-70,0,0,0,1.96,0,104.04,0.98,0,0,17.67,0,0.98,0.98,0.98,0.98,0.98,0,39.26,0,1.96,4.91,73.61,0,4.91,0,0,0,0.98,0,1.96,0,0,19.63,0.98,1.96,0.98,0
 72-82,0,1.96,0,3.93,2.94,85.4,0,0.98,2.94,36.32,0,0.98,3.93,0,0.98,0.98,0,77.55,0,0.98,14.72,126.63,0,7.85,2.94,0,0.98,0,0,1.96,0.98,0,9.82,0.98,8.83,0.98,0.98
 84-94,0,1.06,0,3.19,1.06,57.35,0,1.06,1.06,13.81,5.31,1.06,3.19,1.06,1.06,1.06,1.06,42.48,0,3.19,4.25,62.66,0,1.06,2.12,0,0,4.25,0,0,0,0,9.56,0,3.19,3.19,1.06
 96-106,0,0,0,1.09,2.19,56.83,0,0,1.09,40.44,2.19,2.19,3.28,0,0,1.09,0,55.74,0,2.19,5.46,69.94,0,6.56,3.28,0,1.09,0,0,2.19,0,0,5.46,2.19,8.74,5.46,0
108-118,0,0,0,3.83,5.36,60.51,0,0,1.53,26.81,3.06,1.53,3.06,1.53,0.77,0.77,0,48.26,0,0.77,9.96,111.83,0.77,7.66,5.36,0,0,0.77,0,0,0.77,0,3.83,0.77,9.96,4.6,1.53
120,0,0,0,3.92,9.8,60.75,3.92,0,0,21.56,0,0,9.8,1.96,0,0,1.96,47.03,0,1.96,1.96,82.31,0,5.88,1.96,0,0,1.96,0,3.92,0,0,5.88,0,13.72,3.92,0
