stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,1,4,1,0,3,0,0,0,1,0,0,0,0,0,0,2,0,0,2,32,0,0,0,1,0,0,0,3,15,0,0,0,0,0
 24-34,0,1.64,0,0,3.28,0,0,0,0.82,0,0,0,0,0,0,3.28,0,0,0.82,105.07,0,0,0,0,0,0,0.82,0,68.95,0,0,0,0,0
 36-46,0,0,0,0,2.42,0,0,0.81,1.61,0,0,0,0,0,0,2.42,0,0,0,284.4,0,0,0,0,0,0.81,0,0,121.66,0,0,0,0,0.81
 48-58,0,1.72,0,0,39.59,0.57,0,0,8.03,0,0.57,0,0,0,0.57,5.74,0,0.57,2.3,572.66,0.57,0.57,0,0,0,0,0,0,127.96,0,0,0.57,0,0.57
 60-70,0,0,0,0,90.3,1.96,0.98,0.98,10.8,0,0,0,0,0.98,0,4.91,0,0.98,0,1244.57,0,0,0.98,0,0,1.96,0,0,213.97,0,0,0.98,0,1.96
 72-82,0,3.93,0.98,0,189.46,1.96,0.98,0,21.6,0.98,0,0.98,0,0,0,12.76,0,0,0.98,1086.7,0,0.98,1.96,0,0,0.98,0,0,153.14,0.98,0,0.98,0,0.98
 84-94,0,5.31,0,0,132.75,0,0,0,16.99,1.06,0,1.06,1.06,0,0,9.56,0,1.06,5.31,566.07,0,0,1.06,0,0,3.19,0,0,75.4,0,0,1.06,0,1.06
 96-106,0,6.56,0,1.09,111.47,2.19,1.09,0,40.44,1.09,0,1.09,0,0,2.19,9.84,3.28,0,2.19,535.49,0,1.09,2.19,0,0,6.56,0,0,43.71,0,1.09,1.09,2.19,0
108-118,0,9.19,0.77,0,81.19,3.06,0.77,0.77,38.3,0.77,0,0.77,1.53,0,2.3,10.72,0.77,0,1.53,523.92,0,0,0,0,0.77,0.77,0.77,0,26.81,1.53,0,2.3,0.77,0
120,1.96,5.88,0,0,74.47,1.96,0,0,54.87,0,0,1.96,0,1.96,1.96,11.76,0,1.96,7.84,562.46,0,1.96,0,0,0,3.92,0,0,35.28,0,0,0,0,0
