stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,9.44,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,13,3,0,1,0,1,0,1,0,1,0,0,2,0,0,0,0,2,0,0,6,80,1,4,0,0,2,1,7,0,0,7,45,0,0,1,0,0
 24-34,0,0,0,0.82,2.46,0,0,2.46,0,0,0,14.78,0,0,0,0,0,0,0,0,0.82,3.28,0,0,2.46,220.81,5.75,22.16,2.46,0,1.64,0,0,0.82,3.28,0.82,71.41,0,0,1.64,0,0
 36-46,0,0,0.81,0,1.61,0.81,0,20.95,0,0,0,14.5,0,0,0.81,0.81,0,0.81,0,0,0,7.25,0,0,1.61,475.34,4.83,21.75,1.61,0,3.22,0,0,0,8.06,0,114.41,0,0,1.61,0,1.61
 48-58,0,0,0,0,1.72,0,0,92.96,0,0,0.57,14.35,0,0.57,0,0.57,0,0,2.87,0,0.57,13.2,0,0,1.15,615.69,1.15,20.08,5.74,0,2.87,0,0,0.57,5.74,0,116.48,0,0,0.57,0,1.15
 60-70,0,0,0,0,3.93,0.98,0,301.33,0,0,0,15.7,0,0,0,0.98,0,0,2.94,0,0,9.82,0,0,0.98,1051.21,0,16.69,5.89,0,0.98,0,0.98,0.98,0,0,105.02,0,0,0,0,0.98
 72-82,0,0,0.98,0,8.83,2.94,0,470.22,0,0.98,1.96,22.58,0,0.98,0,1.96,0,0,5.89,0,1.96,25.52,0.98,0.98,2.94,722.5,0,14.72,21.6,0,1.96,0,0,0.98,0,0,62.83,2.94,0,1.96,1.96,0.98
 84-94,0,0,0,0,13.81,3.19,0,331.36,0,2.12,1.06,22.3,0,0,1.06,0,0,1.06,3.19,1.06,1.06,14.87,0,2.12,3.19,374.9,0,12.74,13.81,0,5.31,0,0,0,0,0,38.23,4.25,1.06,0,3.19,0
 96-106,0,0,0,0,7.65,1.09,1.09,312.55,1.09,1.09,0,15.3,2.19,0,0,3.28,1.09,2.19,12.02,2.19,0,20.76,2.19,0,2.19,289.6,0,26.23,25.14,0,5.46,1.09,0,0,0,0,16.39,13.11,0,2.19,0,2.19
108-118,0,0,0.77,0,12.26,3.83,0,245.11,0.77,0,0,20.68,0,0,0.77,2.3,0.77,0.77,3.83,0.77,0.77,16.85,0,0,1.53,306.39,0,9.19,18.38,0,4.6,0,0,1.53,0.77,0,12.26,13.02,0,2.3,0.77,1.53
120,0,0,0,0,9.8,3.92,0,243.01,0,0,0,31.36,3.92,0,1.96,3.92,0,0,9.8,0,0,7.84,0,0,5.88,425.27,1.96,23.52,23.52,0,11.76,0,0,0,0,0,15.68,0,0,5.88,3.92,0
