stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,53.5,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,3,0,0,0,0,36,0,0,0,2,0,0,0,3,0,0,19,0,11,0,0,0,1,26,0,0,115,0,2,0,0
 24-34,0,0,0.82,1.64,0,0.82,0,0,0.82,50.89,0,0,0.82,1.64,0,0.82,0,3.28,0,0,30.37,8.21,4.1,0,0,0,0,12.31,1.64,0.82,95.22,0,14.78,0,1.64
 36-46,0,0,0,1.61,0,0.81,0,0,0,29.81,0,0,0,2.42,0,0,1.61,0.81,0,0,33.03,10.47,1.61,0,0,0.81,0,5.64,0,0,79.76,0,9.67,0,0.81
 48-58,0,0,0,0,0,1.72,0,0,0.57,28.69,0,0,0,1.15,0,1.15,2.3,1.72,0,0,27.54,6.89,5.16,0,0,0,0,5.74,0,0,55.09,0,2.87,0,1.72
 60-70,0,0,0,0,0,4.91,0,0,0,26.5,0,0,0,0,1.96,5.89,0.98,2.94,0,0,31.41,7.85,4.91,0,0.98,0,0,3.93,0,0,15.7,0.98,4.91,0,1.96
 72-82,0,0,0,0,2.94,4.91,0,0,0,27.49,0.98,0,0.98,0,0,3.93,0,5.89,0,0.98,29.45,16.69,9.82,0,0,0,0,2.94,0.98,0,6.87,0.98,13.74,0,0
 84-94,0,0,2.12,0,1.06,5.31,0,0,0,27.61,1.06,0,0,1.06,0,6.37,0,3.19,0,0,13.81,12.74,18.05,0,0,0,0,6.37,0,0,16.99,0,13.81,0,2.12
 96-106,0,2.19,0,3.28,1.09,2.19,0,0,0,17.49,1.09,0,0,0,1.09,17.49,0,2.19,0,0,20.76,30.6,26.23,0,0,1.09,0,2.19,0,0,9.84,0,12.02,0,4.37
108-118,0,0.77,0,0.77,0,3.06,0.77,0,0,11.49,0,0,0,1.53,1.53,6.13,1.53,3.06,0.77,0.77,16.09,19.92,14.55,0,0,1.53,0,4.6,0,0,4.6,0,9.19,0,6.13
120,0,0,1.96,0,0,5.88,0,1.96,0,5.88,0,0,0,0,0,7.84,0,7.84,0,0,9.8,3.92,15.68,0,0,0,0,3.92,0,0,3.92,0,9.8,1.96,1.96
