stage,blastomeres,epidermis,eye,immune,mesenchyme,mural.cell,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,1
 24-34,0,0.82,0.82,3.28,0,0,1.64,0,0,0,0
 36-46,0,0,0,3.22,0,0,3.22,0,0,0,0
 48-58,0,0.57,0.57,9.18,0.57,0,4.59,0,0.57,0,1.15
 60-70,0,0,2.94,9.82,0,0,5.89,0,0,0,0
 72-82,0,0,4.91,19.63,0,0,5.89,0,0,0,0
 84-94,0,0,3.19,25.49,0,0,3.19,0,0,0,0
 96-106,0,0,1.09,45.9,0,0,3.28,0,0,0,0
108-118,0,0,0.77,24.51,0,0.77,1.53,0,0,0,0
120,0,0,0,35.28,0,0,3.92,0,0,0,0
