stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,52,0,0,0,0,0,0,31,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,4.1,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,244.62,0,2.46,0.82,0,0,0,95.22,0,0,1.64,0,0
 36-46,0,0,0,0.81,0,0,11.28,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0.81,613.11,0,3.22,0.81,0,0,0,173.22,0,0,0,0,0
 48-58,0,0,0,0,0,0,43.04,0.57,0,6.31,0,0,0,0.57,0,0,0.57,0.57,5.16,0,0,0.57,819.39,0,1.72,0.57,0,0.57,0,177.88,0,0,0,0,0.57
 60-70,0,0.98,0,5.89,0,0,104.04,0,0,4.91,0,0,0,0,0,0,0,0,8.83,0,0,0.98,1462.47,0,3.93,0,0,0.98,0,273.84,0,0,0.98,0,1.96
 72-82,0,0.98,0,6.87,0,0,167.86,0,0,19.63,0.98,0,0,0,0,0,0.98,0,10.8,0,0,0.98,1259.47,0,0,1.96,0,0,0,135.47,1.96,0,0,0,0
 84-94,0,1.06,0,14.87,0,1.06,112.58,0,1.06,16.99,0,1.06,1.06,0,1.06,0,1.06,0,9.56,0,0,1.06,640.41,1.06,2.12,4.25,0,1.06,0,76.47,3.19,0,0,1.06,0
 96-106,0,1.09,0,8.74,0,0,89.61,1.09,0,24.04,1.09,0,0,0,1.09,1.09,1.09,1.09,10.93,1.09,0,0,497.25,0,0,4.37,0,1.09,1.09,25.14,0,0,0,0,1.09
108-118,0,0.77,0.77,2.3,0,0,63.57,0.77,0,22.21,0.77,0,0.77,0,0,0,1.53,0,6.13,0,0.77,0.77,474.13,0,0.77,3.06,0,0.77,0,22.98,0,0.77,0,0,0.77
120,0,1.96,0,1.96,0,0,58.79,0,0,41.16,0,0,0,0,0,0,1.96,0,3.92,0,0,0,487.99,0,0,1.96,0,3.92,0,33.32,0,0,0,0,0
